ticker,time,open,high,low,close,volume,ma10,ma20,ma50,ma100,ma200,ma10_score,ma20_score,ma50_score,ma100_score,ma200_score,close_changed,volume_changed,total_money_changed
BTC,2025-12-01T00:50:00,87459.52,87507.35,87441.32,87477.45,64,,,,,,,,,,,,,
BTC,2025-12-01T00:51:00,87477.45,87478.29,87271.27,87358.75,112,,,,,,,,,,,-0.1357,75.0000,-13294
BTC,2025-12-01T00:52:00,87358.75,87496.32,87328.97,87412.14,59,,,,,,,,,,,0.0611,-47.3214,3150
BTC,2025-12-01T00:53:00,87412.14,87414.64,87223.60,87238.18,85,,,,,,,,,,,-0.1990,44.0678,-14787
BTC,2025-12-01T00:54:00,87238.18,87240.56,87171.01,87173.09,73,,,,,,,,,,,-0.0746,-14.1176,-4752
BTC,2025-12-01T00:55:00,87173.09,87173.09,87073.40,87082.05,84,,,,,,,,,,,-0.1044,15.0685,-7647
BTC,2025-12-01T00:56:00,87082.05,87100.15,87000.41,87077.88,86,,,,,,,,,,,-0.0048,2.3810,-359
BTC,2025-12-01T00:57:00,87077.88,87303.54,87074.37,87121.27,127,,,,,,,,,,,0.0498,47.6744,5511
BTC,2025-12-01T00:58:00,87121.27,87185.90,87045.72,87107.52,65,,,,,,,,,,,-0.0158,-48.8189,-894
BTC,2025-12-01T00:59:00,87107.52,87134.84,87020.69,87023.97,46,87207.23,,,,,-0.2101,,,,,-0.0959,-29.2308,-3843
BTC,2025-12-01T01:00:00,87023.97,87154.49,86971.78,87051.07,151,87164.59,,,,,-0.1302,,,,,0.0311,228.2609,4092
BTC,2025-12-01T01:01:00,87051.07,87234.75,87051.07,87200.35,76,87148.75,,,,,0.0592,,,,,0.1715,-49.6689,11345
BTC,2025-12-01T01:02:00,87200.35,87454.12,87200.35,87428.94,114,87150.43,,,,,0.3196,,,,,0.2621,50.0000,26059
BTC,2025-12-01T01:03:00,87428.94,87599.56,87383.76,87396.87,81,87166.30,,,,,0.2645,,,,,-0.0367,-28.9474,-2598
BTC,2025-12-01T01:04:00,87396.87,87502.37,87394.69,87458.91,81,87194.88,,,,,0.3028,,,,,0.0710,0.0000,5025
BTC,2025-12-01T01:05:00,87458.91,87505.74,87410.58,87432.42,54,87229.92,,,,,0.2321,,,,,-0.0303,-33.3333,-1430
BTC,2025-12-01T01:06:00,87432.42,87432.42,87292.24,87327.61,65,87254.89,,,,,0.0833,,,,,-0.1199,20.3704,-6813
BTC,2025-12-01T01:07:00,87327.61,87573.32,87309.17,87554.70,62,87298.24,,,,,0.2938,,,,,0.2600,-4.6154,14080
BTC,2025-12-01T01:08:00,87554.70,87648.27,87552.08,87648.27,62,87352.31,,,,,0.3388,,,,,0.1069,0.0000,5801
BTC,2025-12-01T01:09:00,87648.27,87704.35,87418.34,87418.34,79,87391.75,87299.49,,,,0.0304,0.1361,,,,-0.2623,27.4194,-18164
BTC,2025-12-01T01:10:00,87418.34,87418.34,87227.44,87321.30,80,87418.77,87291.68,,,,-0.1115,0.0339,,,,-0.1110,1.2658,-7763
BTC,2025-12-01T01:11:00,87321.30,87370.56,87273.29,87370.26,69,87435.76,87292.26,,,,-0.0749,0.0894,,,,0.0561,-13.7500,3378
BTC,2025-12-01T01:12:00,87370.26,87467.75,87330.50,87467.75,47,87439.64,87295.04,,,,0.0321,0.1978,,,,0.1116,-31.8841,4582
BTC,2025-12-01T01:13:00,87467.75,87554.71,87465.65,87497.61,36,87449.72,87308.01,,,,0.0548,0.2172,,,,0.0341,-23.4043,1075
BTC,2025-12-01T01:14:00,87497.61,87497.61,87397.61,87425.67,54,87446.39,87320.64,,,,-0.0237,0.1203,,,,-0.0822,50.0000,-3885
BTC,2025-12-01T01:15:00,87425.67,87595.66,87412.73,87576.78,56,87460.83,87345.37,,,,0.1326,0.2649,,,,0.1728,3.7037,8462
BTC,2025-12-01T01:16:00,87576.78,87687.68,87545.88,87664.39,74,87494.51,87374.70,,,,0.1942,0.3315,,,,0.1000,32.1429,6483
BTC,2025-12-01T01:17:00,87664.39,87728.35,87616.27,87665.25,66,87505.56,87401.90,,,,0.1825,0.3013,,,,0.0010,-10.8108,57
BTC,2025-12-01T01:18:00,87665.25,87745.89,87631.80,87735.42,45,87514.28,87433.29,,,,0.2527,0.3456,,,,0.0800,-31.8182,3158
BTC,2025-12-01T01:19:00,87735.42,87761.30,87528.78,87550.56,55,87527.50,87459.62,,,,0.0263,0.1040,,,,-0.2107,22.2222,-10167
BTC,2025-12-01T01:20:00,87550.56,87550.56,87402.16,87440.17,48,87539.39,87479.08,,,,-0.1133,-0.0445,,,,-0.1261,-12.7273,-5299
BTC,2025-12-01T01:21:00,87440.17,87548.58,87409.26,87465.68,46,87548.93,87492.34,,,,-0.0951,-0.0305,,,,0.0292,-4.1667,1173
BTC,2025-12-01T01:22:00,87465.68,87568.94,87463.86,87537.82,47,87555.94,87497.79,,,,-0.0207,0.0458,,,,0.0825,2.1739,3391
BTC,2025-12-01T01:23:00,87537.82,87571.65,87510.50,87514.55,34,87557.63,87503.67,,,,-0.0492,0.0124,,,,-0.0266,-27.6596,-791
BTC,2025-12-01T01:24:00,87514.55,87544.84,87363.44,87364.50,70,87551.51,87498.95,,,,-0.2136,-0.1537,,,,-0.1715,105.8824,-10504
BTC,2025-12-01T01:25:00,87364.50,87383.11,87272.75,87331.90,63,87527.02,87493.93,,,,-0.2229,-0.1852,,,,-0.0373,-10.0000,-2054
BTC,2025-12-01T01:26:00,87331.90,87370.91,87265.40,87362.30,52,87496.82,87495.66,,,,-0.1537,-0.1524,,,,0.0348,-17.4603,1581
BTC,2025-12-01T01:27:00,87362.30,87420.50,87351.78,87352.62,42,87465.55,87485.56,,,,-0.1291,-0.1520,,,,-0.0111,-19.2308,-407
BTC,2025-12-01T01:28:00,87352.62,87411.74,87326.22,87355.79,42,87427.59,87470.93,,,,-0.0821,-0.1316,,,,0.0036,0.0000,133
BTC,2025-12-01T01:29:00,87355.79,87378.06,87290.20,87290.78,26,87401.61,87464.56,,,,-0.1268,-0.1987,,,,-0.0744,-38.0952,-1690
BTC,2025-12-01T01:30:00,87290.78,87304.03,87195.21,87232.73,61,87380.87,87460.13,,,,-0.1695,-0.2600,,,,-0.0665,134.6154,-3541
BTC,2025-12-01T01:31:00,87232.73,87384.56,87222.81,87318.55,43,87366.15,87457.54,,,,-0.0545,-0.1589,,,,0.0984,-29.5082,3690
BTC,2025-12-01T01:32:00,87318.55,87385.30,87289.88,87352.03,37,87347.57,87451.76,,,,0.0051,-0.1140,,,,0.0383,-13.9535,1239
BTC,2025-12-01T01:33:00,87352.03,87478.46,87352.03,87417.35,54,87337.86,87447.74,,,,0.0910,-0.0348,,,,0.0748,45.9459,3527
BTC,2025-12-01T01:34:00,87417.35,87473.74,87357.98,87383.80,38,87339.79,87445.65,,,,0.0504,-0.0707,,,,-0.0384,-29.6296,-1275
BTC,2025-12-01T01:35:00,87383.80,87477.97,87366.96,87477.97,22,87354.39,87440.71,,,,0.1415,0.0426,,,,0.1078,-42.1053,2072
BTC,2025-12-01T01:36:00,87477.97,87560.62,87472.60,87558.47,49,87374.01,87435.41,,,,0.2111,0.1407,,,,0.0920,122.7273,3944
BTC,2025-12-01T01:37:00,87558.47,87570.38,87531.96,87565.69,34,87395.32,87430.43,,,,0.1949,0.1547,,,,0.0082,-30.6122,245
BTC,2025-12-01T01:38:00,87565.69,87615.34,87468.91,87478.41,44,87407.58,87417.58,,,,0.0810,0.0696,,,,-0.0997,29.4118,-3840
BTC,2025-12-01T01:39:00,87478.41,87520.14,87437.31,87459.40,30,87424.44,87413.03,87390.51,,,0.0400,0.0531,0.0788,,,-0.0217,-31.8182,-570
