symbol,organ_name,en_organ_name,exchange,type
CCM,CTCP khoáng sản và Xi măng Cần Thơ,Can Tho Mineral and Cement Joint Stock Company,UPCOM,stock
THT,CTCP Than Hà Tu - Vinacomin,Vinacomin - Ha Tu Coal Joint Stock Company,HNX,stock
MGC,CTCP Địa chất mỏ - TKV,Vinacomin - Mining Geology Joint Stock Company,UPCOM,stock
VMT,CTCP Giao nhận Vận tải miền Trung,Vinatrans DaNang Joint Stock Company,UPCOM,stock
MHC,CTCP MHC,MHC Joint Stock Company,HOSE,stock
VTD,CTCP Vietourist Holdings,Vietourist Holdings Joint Stock Company,UPCOM,stock
PGI,Tổng Công ty cổ phần Bảo hiểm Petrolimex,Petrolimex Insurance Corporation,HOSE,stock
LMH,CTCP Quốc Tế Holding,Quoc Te Holding Joint Stock Company,UPCOM,stock
TNM,CTCP Xuất nhập khẩu và Xây dựng Công trình,Tranimexco Transportation Import - Export and Contruction Joint Stock Company,UPCOM,stock
SBT,CTCP Thành Thành Công - Biên Hòa,Thanh Thanh Cong - Bien Hoa Joint Stock Company,HOSE,stock
LLM,Tổng Công ty Lắp máy Việt Nam - CTCP,VietNam Machinery Installation Corporation - JSC,UPCOM,stock
TMW,CTCP Tổng hợp Gỗ Tân Mai,Tan Mai General Wood Joint Stock Company,UPCOM,stock
NBW,CTCP Cấp nước Nhà Bè,Nha Be Water Supply Joint Stock Company,HNX,stock
HPO,CTCP Công nghiệp Hapulico,Hapulico Industry Joint Stock Company,UPCOM,stock
KSQ,CTCP CNC Capital Việt Nam,CNC Capital Viet Nam Joint Stock Company,UPCOM,stock
HSV,CTCP Tập đoàn HSV Việt Nam,HSV Viet Nam Group Joint Stock Company,UPCOM,stock
BTU,CTCP Công trình Đô thị Bến Tre,Bentre Urban Project Joint Stock Company,UPCOM,stock
VXT,CTCP Kho vận và Dịch vụ Thương mại,Transport Warehousing and Trade Service Joint Stock Company,UPCOM,stock
PXT,CTCP Xây lắp Đường ống Bể chứa Dầu khí,Petroleum Pipeline and Tank Construction Joint Stock Company,UPCOM,stock
ANV,CTCP Nam Việt,Nam Viet Corporation,HOSE,stock
TNV,CTCP Thống Nhất Hà Nội,Thong Nhat Ha Noi Joint Stock Company,UPCOM,stock
CST,CTCP Than Cao Sơn - TKV,Cao Son Coal Joint Stock Company,HNX,stock
HVX,CTCP Xi măng VICEM Hải Vân,Vicem Hai Van Cement Joint Stock Company,UPCOM,stock
TAW,CTCP Cấp nước Trung An,Trung An Water Supply Joint Stock Company,UPCOM,stock
NT2,CTCP Điện lực Dầu khí Nhơn Trạch 2,PetroVietnam Power Nhon Trach 2 Joint Stock Company,HOSE,stock
MWG,CTCP Đầu tư Thế giới Di động,Mobile World Investment Corporation,HOSE,stock
WSS,CTCP Chứng khoán Phố Wall,Wall Street Securities Company,HNX,stock
CFV,CTCP Cà phê Thắng Lợi,Thang Loi Coffee Joint Stock Company,UPCOM,stock
HWS,CTCP Cấp nước Huế,Hue Water Supply Joint Stock Company,UPCOM,stock
SSN,CTCP Xuất nhập khẩu Thủy sản Sài Gòn,Saigon SeaProducts Import Export Joint Stock Corporation,UPCOM,stock
TNA,CTCP Thương mại Xuất nhập khẩu Thiên Nam,Thien Nam Trading - Import  Export Joint Stock Company,UPCOM,stock
TNG,CTCP Đầu tư và Thương mại TNG,TNG Investment and Trading Joint Stock Company,HNX,stock
SJM,CTCP Sunspace Holdings,Sunspace Holdings Joint Stock Company,UPCOM,stock
GEX,CTCP Tập đoàn GELEX,GELEX Group Joint Stock Company,HOSE,stock
FOX,CTCP Viễn thông FPT,FPT Telecom Joint Stock Company,UPCOM,stock
MDA,CTCP Môi trường Đô thị Đông Anh,Dong Anh Urban Environment Joint Stock Company,UPCOM,stock
HDW,CTCP Kinh doanh Nước sạch Hải Dương,Hai Duong Water Joint Stock Company,UPCOM,stock
IDP,CTCP Sữa Quốc tế Lof,Lof International Dairy Products Joint Stock Company,UPCOM,stock
EME,CTCP Điện cơ,Electro Mechanical Corporation,UPCOM,stock
DTE,CTCP Đầu tư Năng lượng Đại Trường Thành Holdings,Dai Truong Thanh Holdings Energy Investment Joint Stock Company,UPCOM,stock
PEQ,CTCP Thiết bị Xăng dầu Petrolimex,Petrolimex Equipment Joint Stock Company,UPCOM,stock
IRC,CTCP Cao su Công nghiệp,Industrial Rubber Joint Stock Company,UPCOM,stock
CAD,CTCP Chế biến và Xuất nhập khẩu Thủy sản Cadovimex,Cadovimex Seafood Import-Export and Processing Joint Stock Company,UPCOM,stock
VNL,CTCP Logistics Vinalink,Vinalink Logistics Joint Stock Company,HOSE,stock
KHP,CTCP Điện lực Khánh Hòa,Khanh Hoa Power Joint Stock Company,HOSE,stock
PVV,CTCP Vinaconex 39,Vinaconex 39 Joint Stock Company,UPCOM,stock
PSH,CTCP Thương mại Đầu tư Dầu khí Nam Sông Hậu,Nam Song Hau Trading Investing Petroleum Joint Stock Company,UPCOM,stock
PTP,CTCP PTP,PTP Joint Stock Company,UPCOM,stock
VKC,CTCP VKC Holdings ,VKC Holdings Joint Stock Company,UPCOM,stock
HTN,CTCP Hưng Thịnh Incons,Hung Thinh Incons Joint Stock Company,HOSE,stock
IME,CTCP Cơ khí và Xây lắp Công nghiệp,Mechanical and Industrial Construction Joint Stock Company,UPCOM,stock
TCL,CTCP Đại lý Giao nhận Vận tải Xếp dỡ Tân Cảng,Tan Cang Logistics and Stevedoring Joint Stock Company,HOSE,stock
VIC,Tập đoàn VINGROUP - CTCP,Vingroup Joint Stock Company,HOSE,stock
REE,CTCP Cơ Điện Lạnh,Refrigeration Electrical Engineering Corporation,HOSE,stock
TUG,CTCP Lai Dắt và Vận tải Cảng Hải Phòng,Haiphong Port Tugboat and Transport Joint Stock Company,UPCOM,stock
TNT,CTCP Tập đoàn TNT,TNT Group Joint Stock Company,HOSE,stock
BCC,CTCP Xi măng Bỉm Sơn,Bim Son Cement Joint Stock Company,HNX,stock
KDM,CTCP Tập Đoàn GCL,GCL Group Joint Stock Company,HNX,stock
FDC,CTCP Ngoại thương và  Phát triển Đầu tư Thành phố Hồ Chí Minh,Foreign Trade Development & Investment Corporation of HCMC,HOSE,stock
LEC,CTCP Bất động sản Điện lực Miền Trung,Central Power Real Estate Joint Stock Company,UPCOM,stock
SCC,CTCP Thương mại Đầu tư SHB,SHB Trading Investment Joint Stock Company,UPCOM,stock
GTT,CTCP Thuận Thảo,Thuan Thao Corporation,UPCOM,stock
HLB,CTCP Bia và Nước giải khát Hạ Long,HaLong Beer and Beverage Joint Stock Company,UPCOM,stock
DST,CTCP Đầu tư Sao Thăng Long,Sao Thang Long Investment Joint Stock Company,HNX,stock
PTT,CTCP Vận tải Dầu khí Đông Dương,Indochina Petroleum Transportation Joint Stock Company,UPCOM,stock
CCP,CTCP Cảng Cửa Cấm Hải Phòng,Hai Phong Cua Cam Port Joint Stock Company,UPCOM,stock
VCM,CTCP BV Life,BV Life Joint Stock Company,HNX,stock
VCX,CTCP Xi măng Yên Bình,YenBinh Cement Joint - Stock Company,UPCOM,stock
DCS,CTCP Tập đoàn EDX,EDX Holding Joint Stock Company,UPCOM,stock
BT1,CTCP Bảo vệ Thực vật 1 Trung Ương,Central Plant Protection Joint Stock Company No.1,UPCOM,stock
CDC,CTCP Chương Dương,Chuong Duong Corporation,HOSE,stock
C92,CTCP Xây dựng và Đầu tư 492, Construction & Investment JSC No 492,UPCOM,stock
LKW,CTCP Cấp nước Long Khánh,Long Khanh Water Supply Joint Stock Company,UPCOM,stock
HBH,CTCP Habeco - Hải Phòng,Habeco - Hai Phong Joint Stock Company,UPCOM,stock
TDP,CTCP Thuận Đức,Thuan Duc Joint Stock Company,HOSE,stock
VFR,CTCP Vận tải và Thuê tàu,Transport And Chartering Corporation,UPCOM,stock
TLT,CTCP Viglacera Thăng Long,Viglacera Thanglong Joint  Stock Company,UPCOM,stock
SSB,Ngân hàng TMCP Đông Nam Á,Southeast Asia Commercial Joint Stock Bank,HOSE,stock
CTF,CTCP City Auto,City Auto Corporation,HOSE,stock
HPT,CTCP Dịch vụ Công nghệ Tin học HPT,HPT Viet Nam Corporation,UPCOM,stock
PHH,CTCP Hồng Hà Việt Nam,Hong Ha Viet Nam Joint Stock Company,UPCOM,stock
CNA,CTCP Tổng Công ty Chè Nghệ An,Nghe An Tea Corporation Joint Stock Company,UPCOM,stock
TPB,Ngân hàng TMCP Tiên Phong,Tien Phong Commercial Joint Stock Bank,HOSE,stock
HLC,CTCP Than Hà Lầm - Vinacomin,Vinacomin - Ha Lam Coal Joint Stock Company,HNX,stock
AIC,Tổng Công ty Cổ phần Bảo hiểm DBV,DBV Insurance Group Joint Stock Company,UPCOM,stock
DOC,CTCP Vật tư Nông Nghiệp Đồng Nai,Dong Nai Joint Stock Company of Agricultural Material,UPCOM,stock
VLB,CTCP Xây dựng và Sản xuất Vật liệu xây dựng Biên Hòa,Bien Hoa Building Materials Production and Construction Joint Stock Company,UPCOM,stock
PVC,Tổng Công ty Hóa chất và Dịch vụ Dầu khí - CTCP,PetroVietnam Chemical and Services Joint Stock Corporation,HNX,stock
VHM,CTCP Vinhomes,Vinhomes Joint Stock Company,HOSE,stock
PTV,CTCP Thương mại Dầu khí,Petroleum Trading Joint Stock Company,UPCOM,stock
SAM,CTCP SAM Holdings,SAM Holdings Corporation,HOSE,stock
HSI,CTCP Vật tư Tổng hợp và Phân bón Hóa Sinh,General Materials Biochemistry Fertilizer Joint Stock Company,UPCOM,stock
SPV,CTCP Thủy Đặc sản,Special Aquatic Products Joint Stock Company,UPCOM,stock
VTH,CTCP Dây cáp Điện Việt Thái,Viet Thai Electric Cable Corporation,HNX,stock
VE9,CTCP Đầu tư và Xây dựng VNECO 9,VNECO 9 Investment & Construction Joint Stock Company,UPCOM,stock
KCB,CTCP khoáng Sản và Luyện Kim Cao Bằng,Cao Bang Mineral and Metallurgical Joint Stock Company,UPCOM,stock
TTB,CTCP TTBGroup,TTBGroup Joint Stock Company,UPCOM,stock
QCC,CTCP Đầu tư Xây dựng và Phát triển Hạ tầng Viễn thông,Construction Investment and Telecommunications Infrastructure Development Joint Stock Company,UPCOM,stock
PMJ,CTCP Vật tư Bưu Điện,Posts and Telecommunications Material Supply Joint Stock Company,UPCOM,stock
DTA,CTCP Đệ Tam,De Tam Joint Stock Company,HOSE,stock
TBD,Tổng Công ty Thiết bị Điện Đông Anh - CTCP,Dong Anh Electrical Equipment Corporation - Joint Stock Company,UPCOM,stock
TSB,CTCP Ắc quy Tia Sáng,Tia Sang Battery Joint Stock Company,HNX,stock
NLS,CTCP Cấp thoát nước Lạng Sơn,Lang Son Water Supply and Drainage Joint Stock Company,UPCOM,stock
CII,CTCP Đầu tư Hạ tầng Kỹ thuật Thành phố Hồ Chí Minh,Ho Chi Minh City Infrastructure Investment Joint Stock Company,HOSE,stock
TMT,CTCP Ô tô TMT,TMT Motors Corporation,HOSE,stock
HAN,Tổng Công ty Xây dựng Hà Nội - CTCP,Hanoi Construction Corporation - Joint Stock Company,UPCOM,stock
DDM,CTCP Hàng Hải Đông Đô,Dong Do Marine Joint Stock Company,UPCOM,stock
SGH,CTCP Khách sạn Sài Gòn,Sai Gon Hotel Corporation ,HNX,stock
NET,CTCP Bột giặt NET,NET Detergent Joint Stock Company,HNX,stock
DSE,CTCP Chứng khoán DNSE,DNSE Securities Joint Stock Company,HOSE,stock
L45,CTCP Lilama 45.1,Lilama 45.1 Joint Stock Company,UPCOM,stock
TOT,CTCP Transimex Logistics,Transimex Logistics Corporation,HNX,stock
RCD,CTCP  Xây dựng - Địa ốc Cao su,Rubber Real Estate Construction Joint Stock Company,UPCOM,stock
VC5,CTCP Xây dựng Số 5,Construction Joint Stock Company No 5,UPCOM,stock
DNA,CTCP Điện Nước An Giang,An Giang Power and Water Supply Joint Stock Company,UPCOM,stock
RAL,CTCP Bóng đèn Phích nước Rạng Đông,Rang Dong Light Source and Vacuum Flask Joint Stock Company,HOSE,stock
VSC,CTCP Container Việt Nam,Vietnam Container Shipping Joint Stock Corporation,HOSE,stock
CC1,Tổng Công ty Xây dựng Số 1 - CTCP,Construction Corporation No 1 Joint Stock Company,UPCOM,stock
SDN,CTCP Sơn Đồng Nai,Dong Nai Paint Corporation,HNX,stock
SP2,CTCP Thủy điện Sử Pán 2,Su Pan 2 Hydroprwer Joint Stock Company,UPCOM,stock
PMG,CTCP Đầu tư và Sản xuất Petro Miền Trung,Petro Center Corporation,HOSE,stock
DSD,CTCP DHC Suối Đôi,DHC Suoi Doi Corporation,UPCOM,stock
CCV,CTCP Tư vấn Xây dựng Công nghiệp và Đô thị Việt Nam,VCC Engineering Consultants Joint - Stock Company,UPCOM,stock
PXL,CTCP Đầu tư Khu Công nghiệp Dầu khí Long Sơn,Long Son Petroleum Industrial Zone Investment Joint Stock Company,UPCOM,stock
MFS,CTCP Dịch vụ Kỹ thuật Mobifone,Mobifone Technical Services Joint Stock Company,UPCOM,stock
OIL,Tổng Công ty Dầu Việt Nam - CTCP,PetroVietnam Oil Corporation,UPCOM,stock
HAS,CTCP Hacisco,Hacisco Joint Stock Company,HOSE,stock
TVT,Tổng Công ty Việt Thắng - CTCP,Viet Thang Corporation,HOSE,stock
PSD,CTCP Dịch vụ Phân phối Tổng hợp Dầu khí,Petroleum General Distribution Services Joint Stock Company,HNX,stock
SHE,CTCP Phát triển Năng lượng Sơn Hà,Son Ha Development of Renewable Energy Joint Stock Company,HNX,stock
DSH,CTCP Đầu tư Hạ tầng Đông Sơn,Dong Son Infrastructure Investment Joint Stock Company,UPCOM,stock
X77,CTCP Thành An 77,Thanh An 77 Joint Stock Company,UPCOM,stock
VMS,CTCP Phát triển Hàng Hải,Vietnam Maritime Development Joint Stock Company,HNX,stock
CDG,CTCP Cầu Đuống,Cau Duong Joint Stock Company,UPCOM,stock
HTC,CTCP Thương mại Hóc Môn,HocMon Trade Joint Stock Company,HNX,stock
NAG,CTCP Tập đoàn Nagakawa,Nagakawa Group Joint Stock Company,HNX,stock
PTE,CTCP Xi măng Phú Thọ,Phu Tho Cement Joint Stock Company,UPCOM,stock
POV,CTCP Xăng dầu Dầu khí Vũng Áng,Vung Ang Petroleum Joint Stock Company,UPCOM,stock
HD2,CTCP Đầu tư Phát triển Nhà HUD2,Housing Development Investment Joint Stock Company HUD2,UPCOM,stock
SKN,CTCP Nước giải khát Sanna Khánh Hòa,Sanna Khanh Hoa Beverage Joint Stock Company,UPCOM,stock
DTD,CTCP Đầu tư Phát triển Thành Đạt,Thanh Dat Investment Development Joint Stock Company,HNX,stock
CPH,CTCP Phục vụ Mai táng Hải Phòng,HaiPhong Funeral Services Joint Stock Company,UPCOM,stock
SD3,CTCP Sông Đà 3,Song Da 3 Joint Stock Company,UPCOM,stock
TBC,CTCP Thủy điện Thác Bà,Thac Ba Hydro Power Joint Stock Company,HOSE,stock
DAE,CTCP Sách Giáo dục tại Thành phố Đà Nẵng,Educational Book Joint Stock Company in Da Nang City,HNX,stock
DHT,CTCP Dược phẩm Hà Tây,Ha Tay Pharmaceutical Joint Stock Company,HNX,stock
CAT,CTCP Thủy sản Cà Mau,Seaprimexco-Vietnam,UPCOM,stock
HID,CTCP Halcom Việt Nam,Halcom Vietnam Joint Stock Company,HOSE,stock
HPM,CTCP Xây dựng Thương mại và Khoáng Sản Hoàng Phúc,Hoang Phuc Mineral Trading and Contruction Joint Stock Company,UPCOM,stock
GCB,CTCP Petec Bình Định,Petec Binh Dinh Joint Stock Company,UPCOM,stock
V12,CTCP Xây dựng Số 12,Viet Nam Construction Joint Stock Company No 12,HNX,stock
PTD,CTCP Thiết kế Xây dựng Thương mại Phúc Thịnh,Phuc Thinh Design Construction Trading Corporation,HNX,stock
CHP,CTCP Thủy điện Miền Trung,Central Hydropower Joint Stock Company,HOSE,stock
SIV,CTCP SIVICO,SIVICO Joint Stock Company,UPCOM,stock
DWC,CTCP Cấp nước Đắk Lắk,DAKLAK Water Supply Joint Stock Company,UPCOM,stock
UDL,CTCP Đô thị và Môi trường Đắk Lắk,Dak Lak Urban and Enviroment Joint Stock Company,UPCOM,stock
TID,CTCP Tổng Công ty Tín Nghĩa,Tin Nghia Corporation,UPCOM,stock
VHC,CTCP Vĩnh Hoàn,Vinh Hoan Corporation,HOSE,stock
DMC,CTCP Xuất nhập khẩu Y Tế DOMESCO,DOMESCO Medical Import-Export Joint Stock Corporation,HOSE,stock
PSG,CTCP Đầu Tư và Xây lắp Dầu khí Sài Gòn,Sai Gon Petroleum Construction and Investment Joint Stock Company,UPCOM,stock
VC6,CTCP Xây dựng và Đầu tư Visicons,Visicons Construction and Investment Joint Stock Company,HNX,stock
XLV,CTCP Xây Lắp và Dịch vụ Sông Đà,Song Da Construction and Service Joint Stock Company,UPCOM,stock
BHP,CTCP Bia Hà Nội - Hải Phòng,Ha Noi - Hai Phong Beer JSC,UPCOM,stock
DHN,CTCP Dược phẩm Hà Nội,Ha Noi Pharmar Joint Stock Company,UPCOM,stock
MTS,CTCP Vật tư - TKV,Vinacomin - Materials Trading Joint Stock Company,UPCOM,stock
TV2,CTCP Tư vấn Xây dựng Điện 2,Power Engineering Consulting Joint Stock Company 2,HOSE,stock
MCH,CTCP Hàng tiêu dùng Masan,Masan Consumer Corporation,HOSE,stock
EIC,CTCP EVN Quốc tế,EVN International Joint Stock Company,UPCOM,stock
FSO,CTCP Cơ khí đóng tàu Thủy sản Việt Nam,Viet Nam Fishery Mechanical Shipbuilding Joint Stock Company,UPCOM,stock
VTP,Tổng Công ty cổ phần Bưu chính Viettel,Viettel Post Joint Stock Corporation,HOSE,stock
TTE,CTCP Đầu tư Năng lượng Trường Thịnh,Truong Thinh Energy Investment Joint Stock Company,HOSE,stock
