symbol,organ_name,en_organ_name,exchange,type
UPC,CTCP Phát triển Công viên Cây xanh và Đô thị Vũng Tàu,Vung Tau Urban and Parks Development Joint Stock Company,UPCOM,stock
TGP,CTCP Trường Phú,Truong Phu Corporation,UPCOM,stock
HMR,CTCP Đá Hoàng Mai,Hoang Mai Stone Joint Stock Company,HNX,stock
D2D,CTCP Phát triển Đô thị Công nghiệp số 2,Industrial Urban Development Joint - Stock Company No 2,HOSE,stock
VSA,CTCP Đại lý Hàng hải Việt Nam,Vietnam Ocean Shipping Agency Corporation,HNX,stock
DCH,CTCP Địa chính Hà Nội,Ha Noi Cadastral Joint Stock Company,UPCOM,stock
HFC,CTCP Xăng dầu HFC,HFC Petrol Joint Stock Company,UPCOM,stock
VIW,Tổng Công ty Đầu tư Nước và Môi trường Việt Nam,Vietnam Water and Environment Investment Corporation - JSC,UPCOM,stock
CRC,CTCP Create Capital Việt Nam,Create Capital Viet Nam Joint Stock Company ,HOSE,stock
EVG,CTCP Tập đoàn EverLand,Everland Group Joint Stock Company,HOSE,stock
VSH,CTCP Thủy điện Vĩnh Sơn - Sông Hinh,Vinh Son - Song Hinh Hydropower Joint Stock Company,HOSE,stock
AME,CTCP Alphanam E&C,Alphanam E&C Joint Stock Company,HNX,stock
ISG,CTCP Vận tải biển và Hợp tác Lao động Quốc tế,International Shipping and Labour Cooperation Joint Stock Company,UPCOM,stock
L63,CTCP Lilama 69-3,Lilama 69-3 Joint Stock Company,UPCOM,stock
PIT,CTCP Xuất nhập khẩu Petrolimex,Petrolimex International Trading Joint Stock Company,HOSE,stock
ECI,CTCP Tập Đoàn ECI,ECI Group Joint Stock Company,HNX,stock
MST,CTCP Đầu tư MST,MST Investment Joint Stock Company,HNX,stock
GTS,CTCP Công trình Giao thông Sài Gòn,SaiGon Traffic Construction Joint Stock Company,UPCOM,stock
TVD,CTCP Than Vàng Danh - Vinacomin,Vinacomin - Vang Danh Coal Joint Stock Company,HNX,stock
GMC,CTCP Garmex Sài Gòn,Garmex Saigon Corporation,UPCOM,stock
PVE,Tổng Công ty Tư vấn thiết kế Dầu khí - CTCP,PetroVietnam Engineering Consultancy Joint Stock Company,UPCOM,stock
VIX,CTCP Chứng khoán VIX,VIX Securities Joint Stock Company,HOSE,stock
UMC,CTCP Công trình Đô thị Nam Định,Nam Dinh Urband Construction Management Joint Stock Company,UPCOM,stock
HVT,CTCP Hóa chất Việt Trì,Viet Tri Chemical Joint Stock Company,HNX,stock
THB,CTCP Bia Hà Nội - Thanh Hóa,Ha Noi - Thanh Hoa Beer Joint Stock Company,HNX,stock
VMG,CTCP Thương mại và Dịch vụ Dầu khí Vũng Tàu,Vung Tau Petroleum Trading and Services Joint Stock Company,UPCOM,stock
CKD,CTCP Cơ khí Đông Anh LICOGI,Dong Anh Licogi Mechanical Joint Stock Company,UPCOM,stock
BQP,CTCP Nhựa Chất lượng cao Bình Thuận,Binh Thuan High Quality Plastic Joint Stock Company,UPCOM,stock
ABS,CTCP Dịch vụ Nông nghiệp Bình Thuận,BinhThuan Agriculture Services Joint Stock Company,HOSE,stock
MML,CTCP Masan MeatLife,Masan MeatLife Corporation,UPCOM,stock
THM,CTCP Tứ Hải Hà Nam,Tu Hai Ha Nam Joint Stock Company,UPCOM,stock
SJS,CTCP SJ Group,SJ Group Joint Stock Company,HOSE,stock
BSH,CTCP Bia Sài Gòn - Hà Nội,Saigon - Hanoi Beer Coporation,UPCOM,stock
HAR,CTCP Đầu tư Thương mại Bất động sản An Dương Thảo Điền,An Duong Thao Dien Real Estate Investment Joint Stock Company,HOSE,stock
ITQ,CTCP Tập đoàn Thiên Quang,Thien Quang Group Joint Stock Company,HNX,stock
TV4,CTCP Tư vấn Xây dựng Điện 4,Power Engineering Consulting Joint Stock Company 4,HNX,stock
VTE,CTCP VINACAP Kim Long,VINACAP Kim Long Joint Stock Company,UPCOM,stock
PND,CTCP Xăng dầu Dầu khí Nam Định,PetroVietnam Oil Nam Dinh Joint Stock Company,UPCOM,stock
NTF,CTCP Dược - Vật tư Y tế Nghệ An,Nghe An Pharmaceutical Medical Materical and Equipment Joint Stock Company,UPCOM,stock
VHD,CTCP Đầu tư Phát triển Nhà và Đô Thị VINAHUD,VINAHUD Urban and Housing Development Investment Joint Stock Company,UPCOM,stock
DVT,Trung tâm đào tạo nghiệp vụ Giao thông vận tải Bình Định,Binh Dinh Transport Vocational Training Center,UPCOM,stock
CJC,CTCP Cơ điện Miền Trung,Central Area Electrical Mechanical Joint Stock Company,HNX,stock
VPH,CTCP Vạn Phát Hưng,Van Phat Hung Corporation,HOSE,stock
CLL,CTCP Cảng Cát Lái,Cat Lai Port Joint Stock Company,HOSE,stock
GMA,CTCP G-Automobile,G-Automobile Joint Stock Company,HNX,stock
VDT,CTCP Lưới thép Bình Tây,Binh Tay Steel Wire Netting Joint Stock Company,UPCOM,stock
SD8,CTCP Sông Đà 8,Song Da No 8 Joint Stock Company,UPCOM,stock
TV6,CTCP Tập đoàn EMA Land,EMA Land Group Joint Stock Company,UPCOM,stock
VQC,CTCP Giám định - Vinacomin,Vinacomin Quacontrol Joint Stock Company,UPCOM,stock
GND,CTCP Gạch ngói Đồng Nai,Dong Nai Brick and Tile Corporation,UPCOM,stock
BFC,CTCP Phân bón Bình Điền,Binh Dien Fertilizer Joint Stock Company,HOSE,stock
TRA,CTCP Traphaco,Traphaco Joint Stock Company,HOSE,stock
TDW,CTCP Cấp nước Thủ Đức,Thu Duc Water Supply Joint Stock Company,HOSE,stock
ICF,CTCP Đầu tư Thương mại Thủy sản,Investment Commerce Fisheries Corporation,UPCOM,stock
PET,Tổng Công ty cổ phần Dịch vụ Tổng hợp Dầu khí,Petrovietnam General Services Corporation,HOSE,stock
NHT,CTCP Sản xuất và Thương mại Nam Hoa,Nam Hoa Trading & Production Corporation,HOSE,stock
FCM,CTCP Bê tông Phan Vũ Hà Nam,Phan Vu Ha Nam Concrete Joint Stock Company,HOSE,stock
VIP,CTCP Vận tải Xăng dầu VIPCO,Vietnam Petroleum Transport Joint Stock Company,HOSE,stock
THS,CTCP Thanh Hoa - Sông Đà,Song Da Thanh Hoa Joint Stock Company,HNX,stock
TDB,CTCP Thủy điện Định Bình,Dinh Binh Hydro Power Joint Stock Company,UPCOM,stock
SZL,CTCP Sonadezi Long Thành,Sonadezi Long Thanh Shareholding Company,HOSE,stock
TDG,CTCP Đầu tư TDG Global,TDG Global Investment Joint Stock Company,HOSE,stock
VRC,CTCP Bất động sản và Đầu tư VRC,VRC Real Estate and Investment Joint Stock Company,HOSE,stock
TDF,CTCP Trung Đô,Trung Do Joint Stock Company,UPCOM,stock
CYC,CTCP Gạch men Chang Yih,Chang Yih Ceramic Joint Stock Company,UPCOM,stock
C69,CTCP Xây dựng 1369,1369 Construction Joint Stock Company,HNX,stock
PVI,CTCP PVI,PVI Holdings,HNX,stock
DKC,CTCP Chợ Lạng Sơn,Lang Son Market Joint Stock Company,UPCOM,stock
UDC,CTCP Đầu tư Xây dựng UDCons,UDCons Construction Investment Corporation,UPCOM,stock
CLH,CTCP Xi măng La Hiên VVMI,VVMI La Hien Cement Joint Stock Company,HNX,stock
MVB,Tổng Công ty Công nghiệp mỏ Việt Bắc TKV - CTCP,Vinacomin - Viet Bac Mining Industry Holding Corporation,HNX,stock
HHS,CTCP Đầu tư Dịch vụ Hoàng Huy,Hoang Huy Investment Services Joint Stock Company,HOSE,stock
FT1,CTCP Phụ tùng Máy số 1,Machinery Spare Parts No1 Joint Stock Company,UPCOM,stock
BHG,CTCP Chè Biển Hồ,Bien Ho Tea Joint Stock Company,UPCOM,stock
SMA,CTCP Thiết bị Phụ tùng Sài Gòn,Sai Gon Machinery Spare Parts Joint Stock Company,HOSE,stock
G20,CTCP Đầu tư Dệt may Vĩnh Phúc,Vinh Phuc Textile Investment Joint Stock Company,UPCOM,stock
DP2,CTCP Dược phẩm Trung ương 2,Central Pharmaceutical Joint Stock Company No 2,UPCOM,stock
VID,CTCP Đầu tư Phát triển Thương mại Viễn Đông,Vien Dong Investment Development Trading Corporation,HOSE,stock
NFC,CTCP Phân lân Ninh Bình,Ninh Binh Phosphate Fertilizer Joint Stock Company,HNX,stock
MTL,CTCP Dịch vụ Môi trường Đô thị Từ Liêm,Tu Liem Urban Environment Service Joint Stock Company,UPCOM,stock
PIA,CTCP Tin học Viễn thông Petrolimex,Petrolimex Information Technology and Telecommunication Joint Stock Company,HNX,stock
PSI,CTCP Chứng khoán Dầu khí,PetroVietnam Securities Joint Stock Company,HNX,stock
VFC,CTCP Vinafco,Vinafco Joint Stock Corporation ,UPCOM,stock
FRC,CTCP Lâm đặc sản Xuất khẩu Quảng Nam,Forest Products Export Joint Stock Company Of Quang Nam,UPCOM,stock
PCC,CTCP Tập đoàn Xây lắp 1 - Petrolimex,Petrolimex Construction 1 Joint Stock Company Group,UPCOM,stock
CNT,CTCP Tập đoàn CNT,CNT Group Corporation,UPCOM,stock
SJD,CTCP Thủy điện Cần Đơn,Candon HydroPower Joint Stock Company,HOSE,stock
BHK,CTCP Bia Hà Nội - Kim Bài,Hanoi - Kimbai Beer Joint Stock Company,UPCOM,stock
M10,Tổng Công ty May 10 - CTCP,Garment 10 Corporation - Joint Stock Company,UPCOM,stock
S55,CTCP Sông Đà 505,Song Da 505 Joint Stock Company,HNX,stock
IVS,CTCP Chứng khoán Guotai Junan (Việt Nam),Guotai Junan Securities (Vietnam) Corp.,HNX,stock
GEL,CTCP Hạ tầng GELEX,Gelex Infrastructure Joint Stock Company,HOSE,stock
DP1,CTCP Dược phẩm Trung ương CPC1,Central Pharmaceutical CPC1. JSC,UPCOM,stock
NLG,CTCP Đầu tư Nam Long,Nam Long Investment Corporation,HOSE,stock
L43,CTCP Lilama 45.3,Lilama 45.3 Joint Stock Company,UPCOM,stock
HAF,CTCP Thực phẩm Hà Nội,Hanoi Foodstuff Joint Stock Company,UPCOM,stock
PQN,CTCP Dịch vụ Dầu khí Quảng Ngãi PTSC,PTSC Quang Ngai Joint Stock Company,UPCOM,stock
C47,CTCP Xây dựng 47,Construction Joint Stock Company 47,HOSE,stock
SID,CTCP Đầu tư Phát triển Sài Gòn Co.op,Saigon Co.op Investment Development Joint Stock Company,UPCOM,stock
PC1,CTCP Tập Đoàn PC1,PC1 Group Joint Stock Company,HOSE,stock
POS,CTCP Vận hành và Xây lắp PTSC,PTSC Offshore Services Joint Stock Company,UPCOM,stock
PSN,CTCP Dịch Vụ Kỹ Thuật PTSC Thanh Hóa,PTSC Thanh Hoa Technical Services Company,UPCOM,stock
VBG,CTCP Địa chất Việt Bắc - TKV,Vinacomin - Viet Bac Geology Joint Stock Company,UPCOM,stock
NBP,CTCP Nhiệt điện Ninh Bình,Ninh Binh Thermal Power Joint Stock Company,HNX,stock
CCR,CTCP Cảng Cam Ranh,Cam Ranh Port Joint Stock Company,HNX,stock
BAF,CTCP Nông nghiệp BAF Việt Nam,BAF Viet Nam Agriculture Joint Stock Company,HOSE,stock
HMC,CTCP Kim khí Thành phố Hồ Chí Minh - VNSTEEL,VNSTEEL - HoChiMinh City Metal Corporation,HOSE,stock
BBH,CTCP Bao bì Hoàng Thạch,Hoang Thach Bagging Joint Stock Company,UPCOM,stock
GVT,CTCP Giấy Việt Trì,Viet Tri Paper Joint Stock Company ,UPCOM,stock
NWT,CTCP Vận tải Newway,Newway Transport Joint Stock Company,UPCOM,stock
PMW,CTCP Cấp nước Phú Mỹ,Phu My Water Supply Joint Stock Company,UPCOM,stock
BMD,CTCP Môi trường và Dịch vụ Đô thị Bình Thuận,Binh Thuan Environmental Urban Service Joint Stock Company,UPCOM,stock
DC1,CTCP Đầu tư Phát triển Xây dựng Số 1,Development Investment Construction Number 1 Joint Stock Company,UPCOM,stock
SCL,CTCP Sông Đà Cao Cường,Song Da Cao Cuong Joint Stock Company,UPCOM,stock
F88,CTCP Đầu tư F88,F88 Investment Joint Stock company,UPCOM,stock
AMP,CTCP Armephaco,Armephaco Joint Stock Company,UPCOM,stock
MBG,CTCP Tập đoàn MBG,MBG Group Joint Stock Company,HNX,stock
VGC,Tổng Công ty Viglacera - CTCP,Viglacera Corporation - JSC,HOSE,stock
MBT,CTCP Bất động sản cho thuê Minh Bảo Tín,Minh Bao Tin Real Estate Services Joint Stock Company,UPCOM,stock
GMD,CTCP Gemadept,Gemadept Corporation,HOSE,stock
VIF,Tổng Công ty Lâm nghiệp Việt Nam - CTCP,Viet Nam Forestry Corporation Joint Stock Company,HNX,stock
EGL,CTCP Môi trường Đô thị Gia Lâm, Gia Lam Urban Environment Joint Stock Company,UPCOM,stock
VFG,CTCP Khử trùng Việt Nam,Viet Nam Fumigation Joint Stock Company,HOSE,stock
VTM,CTCP Vận tải và Đưa đón thợ mỏ - VINACOMIN,Vinacomin - Transportation and Miner Commuting Service Joint Stock Company,UPCOM,stock
GDA,CTCP Tôn Đông Á,Ton Dong A Corporation,UPCOM,stock
HDB,Ngân hàng TMCP Phát triển Thành phố Hồ Chí Minh,Ho Chi Minh City Development Joint Stock Commercial Bank,HOSE,stock
PHN,CTCP Pin Hà Nội,Ha Noi Battery Joint Stock Company,HNX,stock
PSC,CTCP Vận tải và Dịch vụ Petrolimex Sài Gòn,Petrolimex Saigon Transportation and Service Joint Stock Company,HNX,stock
TLD,CTCP Đầu tư Xây dựng và Phát triển Đô thị Thăng Long,Thang Long Urban Development and Construction Investment Joint Stock Company,HOSE,stock
SDT,CTCP Sông Đà 10,Song Da No 10 Joint Stock Company,UPCOM,stock
SDA,CTCP Simco Sông Đà,SIMCO Song Da Joint Stock Company,HNX,stock
HAT,CTCP Thương mại Bia Hà Nội,Ha Noi Beer Trading Joint Stock Company,HNX,stock
IST,CTCP ICD Tân Cảng Sóng Thần,Tan Cang Song Than ICD Joint Stock Company,UPCOM,stock
BVG,CTCP Group Bắc Việt,Bac Viet Group Joint Stock Company,UPCOM,stock
SD2,CTCP Sông Đà 2,Song Da 2 Joint Stock Company,UPCOM,stock
HU3,CTCP Đầu tư và Xây dựng HUD3,HUD3 Investment and Construction Joint Stock Company,UPCOM,stock
VC2,CTCP Đầu tư và Xây dựng Vina2,VINA2 Investment and Construction Joint Stock Company,HNX,stock
HTM,Tổng Công ty Thương mại Hà Nội - CTCP,Hanoi Trade Joint Stock Corporation,UPCOM,stock
BRS,CTCP Dịch vụ Đô thị Bà Rịa,Ba Ria Urban Service Joint Stock Company,UPCOM,stock
VGL,CTCP Mạ Kẽm Công Nghiệp Vingal - Vnsteel,Vingal - Vnsteel Industries Joint Stock Company,UPCOM,stock
VHL,CTCP Viglacera Hạ Long,Viglacera Ha Long Joint Stock Company,HNX,stock
PNP,CTCP Tân Cảng - Phú Hữu,Phu Huu - Newport Corporation,UPCOM,stock
NBE,CTCP Sách và Thiết bị Giáo dục Miền Bắc,North Books and Educational Equipment Joint Stock Company,UPCOM,stock
PNT,CTCP Kỹ thuật Xây dựng Phú Nhuận,Phu Nhuan Technical Construction Joint Stock Company,UPCOM,stock
KTL,CTCP Kim Khí Thăng Long,ThangLong Metal Wares Joint Stock Company,UPCOM,stock
TLH,CTCP Tập đoàn Thép Tiến Lên,Tien Len Steel Corporation Joint - Stock Company,HOSE,stock
VCE,CTCP Xây lắp Môi trường,Construction Environment Joint Stock Company,UPCOM,stock
SRC,CTCP Cao su Sao Vàng,Sao Vang Rubber Joint Stock Company,HOSE,stock
TIE,CTCP TIE,Telecommunications Industry Electronics Joint Stock Company,UPCOM,stock
SCD,CTCP Nước giải khát Chương Dương,Chuong Duong Beverages Joint Stock Company,UPCOM,stock
C21,CTCP Thế Kỷ 21 ,Century 21 Joint Stock Company,UPCOM,stock
SIG,CTCP Đầu tư và Thương mại Sông Đà,Song Da Investment and Trading Joint Stock Company,UPCOM,stock
TBR,CTCP Địa ốc Tân Bình,Tan Binh Real Estate Joint Stock Company,UPCOM,stock
L10,CTCP Lilama 10,Lilama 10 Joint Stock Company,HOSE,stock
VDB,CTCP Vận tải và Chế biến Than Đông Bắc,Dong Bac Transport and Processing of Coal Joint Stock Company,UPCOM,stock
SLD,CTCP Địa ốc Sacom,Sacom Land Corporation,UPCOM,stock
FCS,CTCP Lương thực Thành phố Hồ Chí Minh,Ho Chi Minh City Food Joint Stock Company,UPCOM,stock
QBS,CTCP Xuất nhập khẩu Quảng Bình,Quang Binh Import and Export Joint Stock Company,UPCOM,stock
CTS,CTCP Chứng khoán VietinBank,VietinBank Securities Joint Stock Company,HOSE,stock
CMP,CTCP Cảng Chân Mây,Chanmay Port Joint Stock Company,UPCOM,stock
VC3,CTCP Tập đoàn Nam Mê Kông,Nam MeKong Group Joint Stock Company,HNX,stock
ICT,CTCP Viễn thông - Tin học Bưu điện,Joint Stock Company for Telecom and Informatics,HOSE,stock
BHH,CTCP Bia Hà Nội - Hưng Yên 89,Ha Noi - Hung Yen Beer Joint Stock Company 89,UPCOM,stock
PGN,CTCP Phụ Gia Nhựa,Plastic Additives Joint Stock Company,HNX,stock
SBR,CTCP Cao su Sông Bé,Song Be Rubber Joint Stock Company,UPCOM,stock
MQN,CTCP Môi trường đô thị Quảng Ngãi,Quang Ngai Urban Environment Joint Stock Company,UPCOM,stock
HT1,CTCP Xi Măng Vicem Hà Tiên,Vicem Ha Tien Cement Joint Stock Company,HOSE,stock
LSS,CTCP Mía Đường Lam Sơn,Lam Son Sugar Joint Stock Corporation,HOSE,stock
PHP,CTCP Cảng Hải Phòng,Port of Hai Phong Joint Stock Company,UPCOM,stock
HJC,CTCP Hòa Việt,Hoa Viet Joint Stock Company,UPCOM,stock
VLC,Tổng Công ty Chăn Nuôi Việt Nam - CTCP,Vietnam Livestock Corporation - Joint Stock Company,UPCOM,stock
DAG,CTCP Tập đoàn Nhựa Đông Á,Dong A Plastic Group Joint-Stock Company,UPCOM,stock
CPI,CTCP Đầu tư Cảng Cái Lân,Cailan Port  Investment Joint Stock Company,UPCOM,stock
TRS,CTCP Vận tải và Dịch vụ Hàng hải,Tracimexco - Supply Chains and Agency Services Joint stock company,UPCOM,stock
PLX,Tập đoàn Xăng Dầu Việt Nam,VietNam National Petroleum Group,HOSE,stock
SHI,CTCP Quốc tế Sơn Hà,Son Ha International Corporation,HOSE,stock
SBL,CTCP Bia Sài Gòn - Bạc Liêu,SaiGon-BacLieu Beer Joint Stock Company,UPCOM,stock
DFC,CTCP Xích líp Đông Anh,Dong Anh C&F Joint Stock Company,UPCOM,stock
BWS,CTCP Cấp nước Bà Rịa - Vũng Tàu,Ba Ria - Vung Tau Water Supply Joint Stock Company,UPCOM,stock
TDC,CTCP Kinh doanh và Phát triển Bình Dương,Binh Duong Trade And Development Joint Stock Company,HOSE,stock
PSE,CTCP Phân Bón và Hóa Chất Dầu khí Đông Nam Bộ,South-East PetroVietnam Fertilizer and Chemicals Joint Stock Company,HNX,stock
MA1,CTCP Thiết bị,Machinery Joint Stock Company,UPCOM,stock
VDL,CTCP Thực phẩm Lâm Đồng,Lam Dong Foodstuffs Joint Stock Company,HNX,stock
QNC,CTCP Xi măng và Xây dựng Quảng Ninh,Quang Ninh Construction and Cement Joint Stock Company,UPCOM,stock
ALC,CTCP Âu Lạc,Aulac Corporation,UPCOM,stock
TSD,CTCP Du lịch Trường Sơn COECCO,Truongson Tourism Joint Stock Company COECCO,UPCOM,stock
DSP,CTCP Dịch vụ Du lịch Phú Thọ,Phu Tho Tourist Service Joint Stock Company,UPCOM,stock
SGR,CTCP Tổng CTCP Địa ốc Sài Gòn,Saigon Real Estate Group Joint Stock Company,HOSE,stock
CIG,CTCP COMA 18,COMA 18 Joint Stock Company,HOSE,stock
MKP,CTCP Hoá - Dược phẩm Mekophar,Mekophar Chemical Pharmaceutical Joint Stock Company,UPCOM,stock
ONW,CTCP Dịch vụ Một Thế Giới,One World Services Joint Stock Company,UPCOM,stock
ILS,CTCP Đầu tư Thương mại và Dịch vụ Quốc tế,International Investment Trade and Service Joint Stock Company,UPCOM,stock
HCM,CTCP Chứng khoán Thành phố Hồ Chí Minh,Ho Chi Minh City Securities Corporation,HOSE,stock
SFG,CTCP Phân Bón Miền Nam,The Southern Fertilizer Joint Stock Company,HOSE,stock
DXS,CTCP Dịch vụ Bất động sản Đất Xanh,Dat Xanh Real Estate Services Joint Stock Company,HOSE,stock
DNL,CTCP Logistics Cảng Đà Nẵng,Da Nang Port Logistics Joint Stock Company,UPCOM,stock
CEO,CTCP Tập đoàn C.E.O,C.E.O Group Joint Stock Company,HNX,stock
PPS,CTCP Dịch vụ Kỹ thuật Điện lực Dầu khí Việt Nam,PetroVietnam Power Services Joint Stock Company,HNX,stock
HNP,CTCP Hanel Xốp nhựa,Hanel Plastics Joint Stock Company,UPCOM,stock
VTO,CTCP Vận tải Xăng dầu Vitaco,Vietnam Tanker Joint Stock Company,HOSE,stock
DPC,CTCP Nhựa Đà Nẵng,Da Nang Plastic Joint Stock Company,UPCOM,stock
SHN,CTCP Đầu tư Tổng hợp Hà Nội,Ha Noi Investment General Corporation,HNX,stock
TQN,CTCP Thông Quảng Ninh,Quang Ninh Pine Joint Stock Company,UPCOM,stock
LQN,CTCP Licogi Quảng Ngãi,Licogi Quang Ngai Joint Stock Company,UPCOM,stock
VCS,CTCP Vicostone,Vicostone Joint Stock Company,HNX,stock
HSP,CTCP Sơn Tổng hợp Hà Nội,Hanoi Synthetic Paint Joint Stock Company,UPCOM,stock
STS,CTCP Dịch vụ Vận tải Sài Gòn,Sai Gon Transport Agency Joint Stock Company,UPCOM,stock
VBC,CTCP Nhựa - Bao bì Vinh,Vinh Plastic and Bags Joint Stock Company,HNX,stock
ELC,CTCP Công Nghệ - Viễn Thông Elcom,Elcom Technology Communications Corporation,HOSE,stock
HSL,CTCP Đầu tư Phát triển Thực phẩm Hồng Hà,Hong Ha Food Investment Development Joint Stock Company,HOSE,stock
HCT,CTCP Thương mại Dịch vụ Vận tải Xi măng Hải Phòng,Hai Phong Cement Transport and Trading Joint Stock Company,HNX,stock
TRC,CTCP Cao su Tây Ninh,Tay Ninh Rubber Joint Stock Company ,HOSE,stock
MSH,CTCP May Sông Hồng,Song Hong Garment Joint Stock Company,HOSE,stock
GDT,CTCP Chế biến Gỗ Đức Thành,Duc Thanh Wood Processing Joint Stock Company,HOSE,stock
SDK,CTCP Cơ khí Luyện kim,Mechanical Engineering & Metallurgy Joint-Stock Company,UPCOM,stock
CCA,CTCP Xuất nhập khẩu Thuỷ sản Cần Thơ,Can Tho Import Export Seafood Joint Stock Company,UPCOM,stock
G36,Tổng Công ty 36 - CTCP,36 Corporation,UPCOM,stock
HAV,CTCP Rượu Hapro,Hapro Vodka Joint Stock Company,UPCOM,stock
MTA,Tổng Công ty Khoáng sản và Thương mại Hà Tĩnh - CTCP,Ha Tinh Minerals and Trading Joint Stock Corporation,UPCOM,stock
VNI,CTCP Đầu tư Bất động sản Việt Nam,Vietnam Land Investment Corporation,UPCOM,stock
NAV,CTCP Nam Việt,Nam Viet Joint Stock Company,HOSE,stock
LM8,CTCP Lilama 18,Lilama 18 Joint Stock Company,HOSE,stock
DNT,CTCP Du lịch Đồng Nai,Dong Nai Tourist Joint Stock Company,UPCOM,stock
VNP,CTCP Nhựa Việt Nam,Vietnam Plastic Corporation,UPCOM,stock
CRV,CTCP Tập đoàn Bất động sản CRV,CRV Real Estate Group Joint Stock Company,HOSE,stock
SSG,CTCP Vận tải biển Hải Âu,Seagull Shipping Company,UPCOM,stock
DAH,CTCP Tập đoàn Khách sạn Đông Á,Dong A Hotel Group Joint Stock Company,HOSE,stock
DVM,CTCP Dược liệu Việt Nam,Vietnam Medicinal Materials Joint Stock Company,HNX,stock
SPC,CTCP Bảo vệ Thực vật Sài Gòn,Sai Gon Plant Protection Joint Stock Company,HNX,stock
SBB,CTCP Tập đoàn Bia Sài Gòn - Bình Tây,SaiGon Binh Tay Beer Group Joint Stock Company,UPCOM,stock
MCG,CTCP Năng lượng và Bất động sản MCG,MCG Energy and Real Estate Joint Stock Company,UPCOM,stock
SDU,CTCP Đầu tư Xây dựng và Phát triển Đô thị Sông Đà,Song Da Urban Investment Construction and Development Joint Stock Company,HNX,stock
VGR,CTCP Cảng Xanh Vip, Vip Greenport Joint Stock Company ,UPCOM,stock
HOM,CTCP Xi măng VICEM Hoàng Mai,VICEM Hoang Mai Cement Joint Stock Company,HNX,stock
AGP,CTCP Dược phẩm Agimexpharm,Agimexpharm Pharmaceutical Joint Stock Company,UPCOM,stock
MCF,CTCP Xây lắp Cơ khí và Lương thực Thực phẩm,Mechanics Construction and Foodstuff Joint-Stock Company,HNX,stock
VGG,Tổng Công ty cổ phần May Việt Tiến,Viet Tien Garment Corporation,UPCOM,stock
PJT,CTCP Vận tải Xăng dầu Đường Thủy Petrolimex,Petrolimex Joint Stock Tanker Company,HOSE,stock
SBV,CTCP Siam Brothers Việt Nam,Siam Brothers Vietnam Joint Stock Company,HOSE,stock
BSQ,CTCP Bia Sài Gòn - Quảng Ngãi,Sai Gon - Quang Ngai Beer JSC,UPCOM,stock
MAC,CTCP Tập đoàn Macstar,Macstar Group Corporation,HNX,stock
DLD,CTCP Du lịch Đắk Lắk,Dak Lak Tourist Joint Stock Company,UPCOM,stock
TMP,CTCP Thủy điện Thác Mơ,Thac Mo Hydropower Joint Stock Company,HOSE,stock
BTT,CTCP Thương mại Dịch vụ Bến Thành,Ben Thanh Trading & Service Joint Stock Company,HOSE,stock
PVH,CTCP Xây lắp Dầu khí Thanh Hóa,Thanh Hoa Petroleum Construction Joint Stock Company,UPCOM,stock
UPS,CTCP Chứng khoán UP,UP Securities Joint Stock Company,UPCOM,stock
CTT,CTCP Chế tạo Máy - Vinacomin,Vinacomin - Machinery Joint Stock Company,HNX,stock
VE1,CTCP Xây dựng Điện VNECO 1,VNECO 1 Electricity Construction Joint Stock Company,HNX,stock
STB,Ngân hàng TMCP Sài Gòn Thương Tín,Saigon Thuong Tin Commercial Joint Stock Bank,HOSE,stock
VTG,CTCP Du lịch Tỉnh Bà Rịa - Vũng Tàu,Ba Ria - Vung Tau Tourist Joint Stock Company,UPCOM,stock
HTG,Tổng Công ty cổ phần Dệt may Hòa Thọ,Hoa Tho Textile - Garment Joint Stock Corporation,HOSE,stock
DBD,CTCP Dược - Trang thiết bị Y tế Bình Định (Bidiphar),Binh Dinh Pharmaceutical and Medical Equipment Joint Stock Company,HOSE,stock
LO5,CTCP Lilama 5,Lilama 5 Joint Stock Company,UPCOM,stock
GCF,CTCP Thực phẩm G.C,G.C Food Joint Stock Company,UPCOM,stock
TMG,CTCP Kim loại màu Thái Nguyên - Vimico,Vimico - Thai Nguyen Non - Ferrous Metal Joint Stock Company,UPCOM,stock
TKC,CTCP Xây dựng và Kinh doanh Địa ốc Tân Kỷ,Tan Ky Construction Real Estate Trading Corporation,UPCOM,stock
TAR,CTCP Nông nghiệp Công nghệ cao Trung An,Trung An Hi-Tech Farming Joint Stock Company,UPCOM,stock
MLC,CTCP Môi trường Đô thị Tỉnh Lào Cai,Lao Cai Urban Environment Joint Stock Company,UPCOM,stock
BTG,CTCP Bao bì Tiền Giang,Tien Giang Packaging Joint Stock Company,UPCOM,stock
SSF,CTCP Giáo dục G Sài Gòn,G Saigon Education Joint Stock Company,UPCOM,stock
TED,Tổng công ty Tư vấn thiết kế Giao thông vận tải - CТСР,Transport Engineering Design Incorporated,UPCOM,stock
SAL,CTCP Trục vớt Cứu hộ Việt Nam,VietNam Salvage Joint Stock Company,UPCOM,stock
RAT,CTCP Vận tải và Thương mại Đường sắt,Railway Transport and Trade Joint Stock Company,UPCOM,stock
DCF,CTCP Xây dựng và Thiết kế Số 1,Design and Construction Joint Stock Company No.1,UPCOM,stock
