ticker,time,open,high,low,close,volume,ma10,ma20,ma50,ma100,ma200,ma10_score,ma20_score,ma50_score,ma100_score,ma200_score,close_changed,volume_changed,total_money_changed
VNINDEX,2023-09-11T03:00:00,1247.55,1247.91,1244.69,1245.88,419671049,,,,,,,,,,,,,
VNINDEX,2023-09-11T04:00:00,1245.79,1245.86,1241.74,1243.08,130424022,,,,,,,,,,,-0.2247,-68.9223,-365187262
VNINDEX,2023-09-11T06:00:00,1242.77,1243.43,1232.93,1235.91,410210733,,,,,,,,,,,-0.5768,214.5208,-2941210956
VNINDEX,2023-09-11T07:00:00,1235.95,1236.02,1223.33,1223.63,433553400,,,,,,,,,,,-0.9936,5.6904,-5324035752
VNINDEX,2023-09-12T03:00:00,1225.34,1232.29,1225.16,1232.19,367060729,,,,,,,,,,,0.6996,-15.3367,3142039840
VNINDEX,2023-09-12T04:00:00,1232.25,1233.75,1228.82,1229.24,79847950,,,,,,,,,,,-0.2394,-78.2467,-235551453
VNINDEX,2023-09-12T06:00:00,1229.20,1234.16,1226.80,1234.11,254232550,,,,,,,,,,,0.3962,218.3958,1238112518
VNINDEX,2023-09-12T07:00:00,1234.09,1245.44,1234.04,1245.44,266726467,,,,,,,,,,,0.9181,4.9144,3022010871
VNINDEX,2023-09-13T03:00:00,1248.32,1248.33,1241.57,1245.64,452279100,,,,,,,,,,,0.0161,69.5666,90455820
VNINDEX,2023-09-13T04:00:00,1245.56,1248.92,1245.44,1247.02,91100900,1238.21,,,,,0.7112,,,,,0.1108,-79.8574,125719242
VNINDEX,2023-09-13T06:00:00,1246.71,1250.61,1243.11,1246.48,317751320,1238.27,,,,,0.6627,,,,,-0.0433,248.7905,-171585713
VNINDEX,2023-09-13T07:00:00,1246.40,1246.40,1232.84,1238.39,402655406,1237.80,,,,,0.0473,,,,,-0.6490,26.7203,-3257482235
VNINDEX,2023-09-14T03:00:00,1240.37,1240.86,1231.40,1235.55,426758682,1237.77,,,,,-0.1793,,,,,-0.2293,5.9861,-1211994657
VNINDEX,2023-09-14T04:00:00,1235.51,1235.52,1232.05,1232.22,71031300,1238.63,,,,,-0.5173,,,,,-0.2695,-83.3556,-236534229
VNINDEX,2023-09-14T06:00:00,1231.55,1233.10,1223.32,1228.29,463429300,1238.24,,,,,-0.8034,,,,,-0.3189,552.4297,-1821277149
VNINDEX,2023-09-14T07:00:00,1228.34,1235.31,1223.03,1223.81,266234029,1237.69,,,,,-1.1218,,,,,-0.3647,-42.5513,-1192728450
VNINDEX,2023-09-15T03:00:00,1233.60,1233.83,1224.77,1224.89,316476338,1236.77,,,,,-0.9608,,,,,0.0882,18.8715,341794445
VNINDEX,2023-09-15T04:00:00,1224.97,1225.05,1220.89,1223.41,92198100,1234.57,,,,,-0.9040,,,,,-0.1208,-70.8673,-136453188
VNINDEX,2023-09-15T06:00:00,1222.88,1228.66,1220.27,1228.52,247076690,1232.86,,,,,-0.3519,,,,,0.4177,167.9846,1262561886
VNINDEX,2023-09-15T07:00:00,1228.46,1231.49,1224.61,1227.36,261610500,1230.89,1234.55,,,,-0.2869,-0.5826,,,,-0.0944,5.8823,-303468180
VNINDEX,2023-09-18T03:00:00,1220.30,1221.02,1216.99,1218.41,293010000,1228.09,1233.18,,,,-0.7878,-1.1977,,,,-0.7292,12.0024,-2622439500
VNINDEX,2023-09-18T04:00:00,1218.43,1219.54,1214.43,1214.61,60448600,1225.71,1231.76,,,,-0.9054,-1.3920,,,,-0.3119,-79.3698,-229704680
VNINDEX,2023-09-18T06:00:00,1214.26,1217.20,1210.65,1212.98,230330582,1223.45,1230.61,,,,-0.8558,-1.4326,,,,-0.1342,281.0354,-375438849
VNINDEX,2023-09-18T07:00:00,1212.97,1214.54,1203.88,1211.81,261207156,1221.41,1230.02,,,,-0.7859,-1.4803,,,,-0.0965,13.4053,-305612373
VNINDEX,2023-09-19T03:00:00,1212.97,1213.06,1204.72,1204.83,320763070,1219.06,1228.65,,,,-1.1675,-1.9388,,,,-0.5760,22.8003,-2238926229
VNINDEX,2023-09-19T04:00:00,1204.89,1205.38,1199.85,1205.38,131192400,1217.22,1227.46,,,,-0.9727,-1.7986,,,,0.0456,-59.0999,72155820
VNINDEX,2023-09-19T06:00:00,1204.19,1212.62,1201.83,1206.58,282916900,1215.39,1226.08,,,,-0.7248,-1.5905,,,,0.0996,115.6504,339500280
VNINDEX,2023-09-19T07:00:00,1206.36,1212.36,1200.42,1211.50,269857014,1214.20,1224.38,,,,-0.2222,-1.0523,,,,0.4078,-4.6162,1327696509
VNINDEX,2023-09-20T03:00:00,1215.39,1218.09,1213.13,1216.55,322287100,1213.00,1222.93,,,,0.2926,-0.5217,,,,0.4168,19.4288,1627549855
