ticker,time,open,high,low,close,volume,ma10,ma20,ma50,ma100,ma200,ma10_score,ma20_score,ma50_score,ma100_score,ma200_score,close_changed,volume_changed,total_money_changed
VNINDEX,2015-01-05,544.86,549.22,543.78,544.45,91834620,,,,,,,,,,,,,
VNINDEX,2015-01-06,539.08,550.11,538.82,549.66,94081890,,,,,,,,,,,0.9569,2.4471,490166647
VNINDEX,2015-01-07,548.44,555.83,548.44,552.05,109445780,,,,,,,,,,,0.4348,16.3303,261575414
VNINDEX,2015-01-08,553.49,556.80,552.15,553.47,73883040,,,,,,,,,,,0.2572,-32.4935,104913917
VNINDEX,2015-01-09,553.49,570.52,552.15,569.73,104203680,,,,,,,,,,,2.9378,41.0387,1694351837
VNINDEX,2015-01-12,575.86,579.73,574.07,574.32,123328210,,,,,,,,,,,0.8056,18.3530,566076484
VNINDEX,2015-01-13,573.26,580.65,573.26,580.60,93250940,,,,,,,,,,,1.0935,-24.3880,585615903
VNINDEX,2015-01-14,579.77,582.21,571.67,577.01,105588770,,,,,,,,,,,-0.6183,13.2308,-379063684
VNINDEX,2015-01-15,578.31,581.24,575.36,577.74,111809300,,,,,,,,,,,0.1265,5.8913,81620789
VNINDEX,2015-01-16,576.88,578.51,574.08,574.81,103715770,565.38,,,,,1.6672,,,,,-0.5071,-7.2387,-303887206
VNINDEX,2015-01-19,577.32,579.06,570.10,571.51,85869950,568.09,,,,,0.6020,,,,,-0.5741,-17.2065,-283370835
VNINDEX,2015-01-20,570.78,574.96,570.14,572.22,72955320,570.35,,,,,0.3286,,,,,0.1242,-15.0398,51798277
VNINDEX,2015-01-21,573.54,574.41,569.12,569.12,75650990,572.05,,,,,-0.5127,,,,,-0.5417,3.6950,-234518069
VNINDEX,2015-01-22,569.74,576.48,567.82,574.54,77924420,574.16,,,,,0.0662,,,,,0.9523,3.0052,422350356
VNINDEX,2015-01-23,578.22,583.57,577.57,582.38,116961120,575.42,,,,,1.2087,,,,,1.3646,50.0956,916975181
VNINDEX,2015-01-26,584.89,586.76,580.64,580.64,92614650,576.06,,,,,0.7956,,,,,-0.2988,-20.8159,-161149491
VNINDEX,2015-01-27,579.04,584.28,575.50,579.30,138720400,575.93,,,,,0.5857,,,,,-0.2308,49.7824,-185885336
VNINDEX,2015-01-28,579.56,584.35,578.59,583.76,107448470,576.60,,,,,1.2414,,,,,0.7699,-22.5431,479220176
