date,branch,buy,sell,buy_diff,sell_diff
2026-04-07,Hồ Chí Minh,169500000.0,172500000.0,0.0,0.0
2026-04-07,Miền Bắc,169500000.0,172500000.0,0.0,0.0
2026-04-07,Hạ Long,169500000.0,172500000.0,0.0,0.0
2026-04-07,Hải Phòng,169500000.0,172500000.0,0.0,0.0
2026-04-07,Miền Trung,169500000.0,172500000.0,0.0,0.0
2026-04-07,Huế,169500000.0,172500000.0,0.0,0.0
2026-04-07,Quảng Ngãi,169500000.0,172500000.0,0.0,0.0
2026-04-07,Nha Trang,169500000.0,172500000.0,0.0,0.0
2026-04-07,Biên Hòa,169500000.0,172500000.0,0.0,0.0
2026-04-07,Miền Tây,169500000.0,172500000.0,0.0,0.0
2026-04-07,Bạc Liêu,169500000.0,172500000.0,0.0,0.0
2026-04-07,Cà Mau,169500000.0,172500000.0,0.0,0.0
