date,branch,buy,sell,buy_diff,sell_diff
2016-01-01,Hồ Chí Minh,32550000.0,32900000.0,-136950000.0,-139600000.0
2016-01-02,Hồ Chí Minh,32580000.0,32880000.0,-136920000.0,-139620000.0
2016-01-03,Hồ Chí Minh,32580000.0,32880000.0,-136920000.0,-139620000.0
2016-01-04,Hồ Chí Minh,32670000.0,32920000.0,-136830000.0,-139580000.0
2016-01-05,Hồ Chí Minh,32610000.0,32890000.0,-136890000.0,-139610000.0
2016-01-06,Hồ Chí Minh,32610000.0,32890000.0,-136890000.0,-139610000.0
2016-01-07,Hồ Chí Minh,32740000.0,33020000.0,-136760000.0,-139480000.0
2016-01-08,Hồ Chí Minh,32780000.0,33080000.0,-136720000.0,-139420000.0
2016-01-09,Hồ Chí Minh,32840000.0,33140000.0,-136660000.0,-139360000.0
2016-01-10,Hồ Chí Minh,32840000.0,33140000.0,-136660000.0,-139360000.0
2016-01-11,Hồ Chí Minh,32850000.0,33150000.0,-136650000.0,-139350000.0
2016-01-12,Hồ Chí Minh,32760000.0,33060000.0,-136740000.0,-139440000.0
2016-01-13,Hồ Chí Minh,32620000.0,32880000.0,-136880000.0,-139620000.0
2016-01-14,Hồ Chí Minh,32660000.0,32920000.0,-136840000.0,-139580000.0
2016-01-15,Hồ Chí Minh,32610000.0,32870000.0,-136890000.0,-139630000.0
2016-01-16,Hồ Chí Minh,32650000.0,32920000.0,-136850000.0,-139580000.0
2016-01-17,Hồ Chí Minh,32650000.0,32920000.0,-136850000.0,-139580000.0
2016-01-18,Hồ Chí Minh,32570000.0,32830000.0,-136930000.0,-139670000.0
2016-01-19,Hồ Chí Minh,32590000.0,32850000.0,-136910000.0,-139650000.0
2016-01-20,Hồ Chí Minh,32580000.0,32840000.0,-136920000.0,-139660000.0
2016-01-21,Hồ Chí Minh,32640000.0,32900000.0,-136860000.0,-139600000.0
2016-01-22,Hồ Chí Minh,32600000.0,32860000.0,-136900000.0,-139640000.0
2016-01-23,Hồ Chí Minh,32640000.0,32910000.0,-136860000.0,-139590000.0
2016-01-24,Hồ Chí Minh,32640000.0,32910000.0,-136860000.0,-139590000.0
2016-01-25,Hồ Chí Minh,32590000.0,32860000.0,-136910000.0,-139640000.0
2016-01-26,Hồ Chí Minh,32660000.0,32920000.0,-136840000.0,-139580000.0
2016-01-27,Hồ Chí Minh,32680000.0,32950000.0,-136820000.0,-139550000.0
2016-01-28,Hồ Chí Minh,32690000.0,32950000.0,-136810000.0,-139550000.0
2016-01-29,Hồ Chí Minh,32620000.0,32890000.0,-136880000.0,-139610000.0
2016-01-30,Hồ Chí Minh,32650000.0,32920000.0,-136850000.0,-139580000.0
2016-01-31,Hồ Chí Minh,32650000.0,32920000.0,-136850000.0,-139580000.0
2016-02-01,Hồ Chí Minh,32670000.0,32940000.0,-136830000.0,-139560000.0
2016-02-02,Hồ Chí Minh,32730000.0,33000000.0,-136770000.0,-139500000.0
2016-02-03,Hồ Chí Minh,32800000.0,33070000.0,-136700000.0,-139430000.0
2016-02-04,Hồ Chí Minh,32970000.0,33250000.0,-136530000.0,-139250000.0
2016-02-05,Hồ Chí Minh,33080000.0,33380000.0,-136420000.0,-139120000.0
2016-02-06,Hồ Chí Minh,33080000.0,33380000.0,-136420000.0,-139120000.0
2016-02-07,Hồ Chí Minh,33080000.0,33380000.0,-136420000.0,-139120000.0
2016-02-08,Hồ Chí Minh,33080000.0,33380000.0,-136420000.0,-139120000.0
2016-02-09,Hồ Chí Minh,33080000.0,33380000.0,-136420000.0,-139120000.0
2016-02-10,Hồ Chí Minh,33080000.0,33380000.0,-136420000.0,-139120000.0
2016-02-11,Hồ Chí Minh,33080000.0,33380000.0,-136420000.0,-139120000.0
2016-02-12,Hồ Chí Minh,33500000.0,34400000.0,-136000000.0,-138100000.0
2016-02-13,Hồ Chí Minh,33500000.0,34400000.0,-136000000.0,-138100000.0
2016-02-14,Hồ Chí Minh,33500000.0,34400000.0,-136000000.0,-138100000.0
2016-02-15,Hồ Chí Minh,33380000.0,33730000.0,-136120000.0,-138770000.0
2016-02-16,Hồ Chí Minh,33450000.0,33800000.0,-136050000.0,-138700000.0
2016-02-17,Hồ Chí Minh,33100000.0,33550000.0,-136400000.0,-138950000.0
2016-02-18,Hồ Chí Minh,33130000.0,33450000.0,-136370000.0,-139050000.0
2016-02-19,Hồ Chí Minh,33270000.0,33630000.0,-136230000.0,-138870000.0
2016-02-20,Hồ Chí Minh,33300000.0,33650000.0,-136200000.0,-138850000.0
2016-02-21,Hồ Chí Minh,33300000.0,33650000.0,-136200000.0,-138850000.0
2016-02-22,Hồ Chí Minh,33120000.0,33420000.0,-136380000.0,-139080000.0
2016-02-23,Hồ Chí Minh,33220000.0,33520000.0,-136280000.0,-138980000.0
2016-02-24,Hồ Chí Minh,33360000.0,33660000.0,-136140000.0,-138840000.0
2016-02-25,Hồ Chí Minh,33400000.0,33700000.0,-136100000.0,-138800000.0
2016-02-26,Hồ Chí Minh,33300000.0,33600000.0,-136200000.0,-138900000.0
