date,buy,sell
2026-04-07,169500000.0,172500000.0
2026-04-06,170100000.0,173100000.0
2026-04-05,171500000.0,174500000.0
2026-04-04,171500000.0,174500000.0
2026-04-03,171000000.0,174500000.0
2026-04-02,170000000.0,173500000.0
2026-04-01,173700000.0,176700000.0
2026-03-31,171900000.0,174900000.0
2026-03-30,170800000.0,173800000.0
2026-03-29,169800000.0,172800000.0
2026-03-28,169800000.0,172800000.0
2026-03-27,168600000.0,171600000.0
2026-03-26,168500000.0,171500000.0
2026-03-25,170500000.0,173500000.0
2026-03-24,167200000.0,170200000.0
2026-03-23,163000000.0,166000000.0
2026-03-22,168000000.0,171000000.0
2026-03-21,168000000.0,171000000.0
2026-03-20,173100000.0,176100000.0
2026-03-19,172500000.0,175500000.0
2026-03-18,180000000.0,183000000.0
2026-03-17,180000000.0,183000000.0
2026-03-16,180100000.0,183100000.0
2026-03-15,179600000.0,182600000.0
2026-03-14,179600000.0,182600000.0
2026-03-13,181800000.0,184800000.0
2026-03-12,183300000.0,186300000.0
2026-03-11,184200000.0,187200000.0
2026-03-10,183100000.0,186100000.0
2026-03-09,181100000.0,184100000.0
2026-03-08,182000000.0,185000000.0
2026-03-07,182000000.0,185000000.0
2026-03-06,180800000.0,183800000.0
2026-03-05,181700000.0,184700000.0
2026-03-04,181200000.0,184200000.0
2026-03-03,185200000.0,188200000.0
2026-03-02,187900000.0,190900000.0
2026-03-01,184000000.0,187000000.0
2026-02-28,184000000.0,187000000.0
2026-02-27,181000000.0,184000000.0
2026-02-27,181000000.0,184000000.0
2026-02-27,180500000.0,183500000.0
2026-02-27,181000000.0,184000000.0
2026-02-27,181000000.0,184000000.0
2026-02-27,181000000.0,184000000.0
2026-02-27,181000000.0,184000000.0
2026-02-27,181000000.0,184000000.0
2026-02-27,181000000.0,184000000.0
2026-02-27,181000000.0,184000000.0
2026-02-27,181000000.0,184000000.0
2026-02-27,181000000.0,184000000.0
2026-02-27,181000000.0,184000000.0
2026-02-27,181000000.0,184000000.0
2026-02-27,181000000.0,184000000.0
2026-02-27,181000000.0,184000000.0
2026-02-27,181000000.0,184000000.0
2026-02-27,181000000.0,184000000.0
2026-02-27,181000000.0,184000000.0
2026-02-27,181000000.0,184000000.0
2026-02-27,181000000.0,184000000.0
2026-02-27,181000000.0,184000000.0
2026-02-27,181000000.0,184000000.0
2026-02-27,180500000.0,183500000.0
2026-02-27,181000000.0,184000000.0
2026-02-27,181000000.0,184000000.0
2026-02-27,181000000.0,184000000.0
2026-02-27,181000000.0,184000000.0
2026-02-27,181000000.0,184000000.0
2026-02-27,181000000.0,184000000.0
2026-02-27,181000000.0,184000000.0
2026-02-27,181000000.0,184000000.0
2026-02-27,181000000.0,184000000.0
2026-02-27,181000000.0,184000000.0
2026-02-27,181000000.0,184000000.0
2026-02-27,181000000.0,184000000.0
2026-02-27,181000000.0,184000000.0
2026-02-27,181000000.0,184000000.0
2026-02-27,181000000.0,184000000.0
2026-02-27,181000000.0,184000000.0
2026-02-27,181000000.0,184000000.0
2026-02-27,181000000.0,184000000.0
2026-02-27,181000000.0,184000000.0
2026-02-27,181000000.0,184000000.0
2026-02-27,181000000.0,184000000.0
2026-02-27,181000000.0,184000000.0
2026-02-27,181000000.0,184000000.0
2026-02-27,181000000.0,184000000.0
2026-02-27,181000000.0,184000000.0
2026-02-27,181000000.0,184000000.0
2026-02-27,181000000.0,184000000.0
2026-02-27,181000000.0,184000000.0
2026-02-27,181000000.0,184000000.0
2026-02-27,181000000.0,184000000.0
2026-02-27,181000000.0,184000000.0
2026-02-27,181000000.0,184000000.0
2026-02-27,181000000.0,184000000.0
2026-02-27,181000000.0,184000000.0
2026-02-27,181000000.0,184000000.0
2026-02-27,181000000.0,184000000.0
