ticker,time,open,high,low,close,volume,ma10,ma20,ma50,ma100,ma200,ma10_score,ma20_score,ma50_score,ma100_score,ma200_score,close_changed,volume_changed,total_money_changed
VIC,2015-01-05,10241.66,10241.66,10155.78,10220.19,320790,,,,,,,,,,,,,
VIC,2015-01-06,10177.25,10263.13,10155.78,10263.13,462360,,,,,,,,,,,0.4201,44.1317,19853738
VIC,2015-01-07,10263.13,10306.08,10198.72,10241.66,319600,,,,,,,,,,,-0.2092,-30.8764,-6861812
VIC,2015-01-08,10241.66,10391.96,10241.66,10306.08,788420,,,,,,,,,,,0.6290,146.6896,50790016
VIC,2015-01-09,10306.08,10434.90,10263.13,10263.13,969330,,,,,,,,,,,-0.4167,22.9459,-41632724
VIC,2015-01-12,10263.13,10349.02,10155.78,10155.78,472380,,,,,,,,,,,-1.0460,-51.2674,-50709993
VIC,2015-01-13,10134.31,10220.19,10069.90,10112.84,784490,,,,,,,,,,,-0.4228,66.0718,-33686001
VIC,2015-01-14,10177.25,10177.25,10091.37,10112.84,585600,,,,,,,,,,,0.0000,-25.3528,0
VIC,2015-01-15,10112.84,10198.72,10048.42,10177.25,826580,,,,,,,,,,,0.6369,41.1510,53240018
VIC,2015-01-16,10177.25,10177.25,10091.37,10155.78,275570,10200.87,,,,,-0.4420,,,,,-0.2110,-66.6614,-5916488
VIC,2015-01-19,10155.78,10284.60,10134.31,10155.78,407620,10194.43,,,,,-0.3791,,,,,0.0000,47.9189,0
VIC,2015-01-20,10177.25,10220.19,10112.84,10112.84,316350,10179.40,,,,,-0.6539,,,,,-0.4228,-22.3910,-13584069
VIC,2015-01-21,10112.84,10177.25,10112.84,10112.84,227060,10166.52,,,,,-0.5280,,,,,0.0000,-28.2251,0
VIC,2015-01-22,10177.25,10177.25,10112.84,10112.84,204950,10147.19,,,,,-0.3385,,,,,0.0000,-9.7375,0
VIC,2015-01-23,10177.25,10306.08,10155.78,10306.08,770380,10151.49,,,,,1.5229,,,,,1.9108,275.8868,148868231
VIC,2015-01-26,10413.43,10499.31,10306.08,10349.02,241650,10170.81,,,,,1.7522,,,,,0.4166,-68.6324,10376451
VIC,2015-01-27,10349.02,10370.49,10177.25,10306.08,517330,10190.14,,,,,1.1378,,,,,-0.4149,114.0824,-22214150
VIC,2015-01-28,10220.19,10306.08,10198.72,10220.19,323250,10200.87,,,,,0.1894,,,,,-0.8334,-37.5157,-27763942
VIC,2015-01-29,10220.19,10263.13,10177.25,10220.19,185770,10205.16,,,,,0.1472,,,,,0.0000,-42.5305,0
VIC,2015-01-30,10241.66,10391.96,10220.19,10306.08,938950,10220.19,10210.53,,,,0.8404,0.9358,,,,0.8404,405.4368,80646415
VIC,2015-02-02,10306.08,10327.55,10241.66,10241.66,408830,10228.78,10211.60,,,,0.1259,0.2943,,,,-0.6251,-56.4588,-26336829
VIC,2015-02-03,10241.66,10263.13,10069.90,10069.90,304890,10224.49,10201.94,,,,-1.5119,-1.2943,,,,-1.6771,-25.4238,-52367906
