ticker,time,open,high,low,close,volume,ma10,ma20,ma50,ma100,ma200,ma10_score,ma20_score,ma50_score,ma100_score,ma200_score,close_changed,volume_changed,total_money_changed
VIC,2023-09-11T03:00:00,30250.00,30400.00,30000.00,30250.00,8935900,,,,,,,,,,,,,
VIC,2023-09-11T04:00:00,30250.00,30250.00,29950.00,30150.00,934200,,,,,,,,,,,-0.3306,-89.5455,-93420000
VIC,2023-09-11T06:00:00,30150.00,30200.00,29800.00,29950.00,2908900,,,,,,,,,,,-0.6633,211.3787,-581780000
VIC,2023-09-11T07:00:00,29900.00,30000.00,29550.00,29550.00,3583000,,,,,,,,,,,-1.3356,23.1737,-1433200000
VIC,2023-09-12T03:00:00,30000.00,30200.00,30000.00,30100.00,6602200,,,,,,,,,,,1.8613,84.2646,3631210000
VIC,2023-09-12T04:00:00,30150.00,30200.00,29950.00,30050.00,1444900,,,,,,,,,,,-0.1661,-78.1149,-72245000
VIC,2023-09-12T06:00:00,30050.00,30100.00,29800.00,29950.00,2858300,,,,,,,,,,,-0.3328,97.8199,-285830000
VIC,2023-09-12T07:00:00,29950.00,30150.00,29700.00,30150.00,4161800,,,,,,,,,,,0.6678,45.6040,832360000
VIC,2023-09-13T03:00:00,30250.00,30300.00,30100.00,30200.00,6478300,,,,,,,,,,,0.1658,55.6610,323915000
VIC,2023-09-13T04:00:00,30200.00,30300.00,30150.00,30200.00,1229200,30055.00,,,,,0.4824,,,,,0.0000,-81.0259,0
VIC,2023-09-13T06:00:00,30200.00,30250.00,29800.00,29850.00,3976900,30015.00,,,,,-0.5497,,,,,-1.1589,223.5356,-1391915000
VIC,2023-09-13T07:00:00,29850.00,29900.00,29550.00,29600.00,4636600,29960.00,,,,,-1.2016,,,,,-0.8375,16.5883,-1159150000
VIC,2023-09-14T03:00:00,29000.00,29050.00,28400.00,28700.00,10854100,29835.00,,,,,-3.8043,,,,,-3.0405,134.0961,-9768690000
VIC,2023-09-14T04:00:00,28700.00,28700.00,28400.00,28450.00,2006200,29725.00,,,,,-4.2893,,,,,-0.8711,-81.5167,-501550000
