stock_code,industry,net_asset_percent,type_asset,update_at,fundId,short_name
HVN,Vận tải - Kho bãi,13.64,STOCK,2025-06-06,75,VCAMDF
NVL,Bất động sản,8.1,STOCK,2025-06-06,75,VCAMDF
BVB,Ngân hàng,7.46,STOCK,2025-06-06,75,VCAMDF
PLC,Sản xuất Phụ trợ,6.96,STOCK,2025-06-06,75,VCAMDF
NLG,Bất động sản,4.64,STOCK,2025-06-06,75,VCAMDF
GEG,Tiện ích,4.05,STOCK,2025-06-06,75,VCAMDF
VFG,Bán buôn,3.84,STOCK,2025-06-06,75,VCAMDF
AGG,Bất động sản,3.77,STOCK,2025-06-06,75,VCAMDF
VCG,Xây dựng,3.74,STOCK,2025-06-06,75,VCAMDF
SCR,Bất động sản,3.67,STOCK,2025-06-06,75,VCAMDF
