industry,net_asset_percent,short_name
Ngân hàng,30.12,DCDE
Bất động sản,14.53,DCDE
Bán lẻ,8.88,DCDE
Vật liệu xây dựng,5.53,DCDE
Thực phẩm - Đồ uống,5.18,DCDE
Công nghệ và thông tin,4.0,DCDE
Xây dựng,2.99,DCDE
Bán buôn,2.43,DCDE
Sản xuất Nhựa - Hóa chất,2.08,DCDE
Vận tải - Kho bãi,2.03,DCDE
Thiết bị điện,1.71,DCDE
Tiện ích,1.65,DCDE
Chứng khoán,1.59,DCDE
Nông - Lâm - Ngư,0.85,DCDE
Sản xuất Phụ trợ,0.84,DCDE
"Sản xuất Thiết bị, máy móc",0.75,DCDE
Chế biến thủy sản,0.71,DCDE
"Dịch vụ tư vấn, hỗ trợ",0.62,DCDE
