stock_code,industry,net_asset_percent,type_asset,update_at,fundId,short_name
MBB,Ngân hàng,8.75,STOCK,2025-06-05,32,VCBF-BCF
FPT,Công nghệ và thông tin,8.0,STOCK,2025-06-05,32,VCBF-BCF
STB,Ngân hàng,7.46,STOCK,2025-06-05,32,VCBF-BCF
MWG,Bán lẻ,6.1,STOCK,2025-06-05,32,VCBF-BCF
CTG,Ngân hàng,4.8,STOCK,2025-06-05,32,VCBF-BCF
BWE,Tiện ích,4.39,STOCK,2025-06-05,32,VCBF-BCF
PNJ,Sản xuất Phụ trợ,4.3,STOCK,2025-06-05,32,VCBF-BCF
HPG,Vật liệu xây dựng,4.29,STOCK,2025-06-05,32,VCBF-BCF
TCB,Ngân hàng,3.83,STOCK,2025-06-05,32,VCBF-BCF
ACB,Ngân hàng,3.54,STOCK,2025-06-05,32,VCBF-BCF
