stock_code,industry,net_asset_percent,type_asset,update_at,fundId,short_name
MBB,Ngân hàng,5.17,STOCK,2025-06-05,66,PHVSF
ACB,Ngân hàng,4.54,STOCK,2025-06-05,66,PHVSF
TCB,Ngân hàng,4.34,STOCK,2025-06-05,66,PHVSF
FPT,Công nghệ và thông tin,3.99,STOCK,2025-06-05,66,PHVSF
HPG,Vật liệu xây dựng,3.97,STOCK,2025-06-05,66,PHVSF
VPB,Ngân hàng,3.85,STOCK,2025-06-05,66,PHVSF
STB,Ngân hàng,3.77,STOCK,2025-06-05,66,PHVSF
CTG,Ngân hàng,3.71,STOCK,2025-06-05,66,PHVSF
MWG,Bán lẻ,3.45,STOCK,2025-06-05,66,PHVSF
REE,Thiết bị điện,3.27,STOCK,2025-06-05,66,PHVSF
