stock_code,industry,net_asset_percent,type_asset,update_at,fundId,short_name
TCB,Ngân hàng,14.98,STOCK,2025-06-10,87,BMFF
ACB,Ngân hàng,14.02,STOCK,2025-06-10,87,BMFF
PNJ,Sản xuất Phụ trợ,5.07,STOCK,2025-06-10,87,BMFF
VPB,Ngân hàng,4.89,STOCK,2025-06-10,87,BMFF
HPG,Vật liệu xây dựng,4.8,STOCK,2025-06-10,87,BMFF
VIB,Ngân hàng,4.67,STOCK,2025-06-10,87,BMFF
VRE,Bất động sản,4.61,STOCK,2025-06-10,87,BMFF
QNS,Thực phẩm - Đồ uống,4.53,STOCK,2025-06-10,87,BMFF
PLX,Bán buôn,4.5,STOCK,2025-06-10,87,BMFF
VEA,"Sản xuất Thiết bị, máy móc",4.24,STOCK,2025-06-10,87,BMFF
