stock_code,industry,net_asset_percent,type_asset,update_at,fundId,short_name
TCB,Ngân hàng,6.58,STOCK,2025-06-05,58,UVEEF
VCB,Ngân hàng,6.37,STOCK,2025-06-05,58,UVEEF
MBB,Ngân hàng,5.56,STOCK,2025-06-05,58,UVEEF
FPT,Công nghệ và thông tin,5.39,STOCK,2025-06-05,58,UVEEF
ACB,Ngân hàng,4.77,STOCK,2025-06-05,58,UVEEF
MWG,Bán lẻ,4.07,STOCK,2025-06-05,58,UVEEF
VHM,Bất động sản,3.9,STOCK,2025-06-05,58,UVEEF
STB,Ngân hàng,3.89,STOCK,2025-06-05,58,UVEEF
VIC,Bất động sản,3.66,STOCK,2025-06-05,58,UVEEF
PNJ,Sản xuất Phụ trợ,3.65,STOCK,2025-06-05,58,UVEEF
