stock_code,industry,net_asset_percent,type_asset,update_at,fundId,short_name
MBB,Ngân hàng,7.79,STOCK,2025-06-05,80,VDEF
PVI,Bảo hiểm,7.27,STOCK,2025-06-05,80,VDEF
HPG,Vật liệu xây dựng,6.69,STOCK,2025-06-05,80,VDEF
FPT,Công nghệ và thông tin,6.42,STOCK,2025-06-05,80,VDEF
CTG,Ngân hàng,6.39,STOCK,2025-06-05,80,VDEF
GMD,Vận tải - Kho bãi,5.02,STOCK,2025-06-05,80,VDEF
PHR,Sản xuất Nhựa - Hóa chất,5.01,STOCK,2025-06-05,80,VDEF
BVH,Bảo hiểm,4.76,STOCK,2025-06-05,80,VDEF
QNS,Thực phẩm - Đồ uống,4.7,STOCK,2025-06-05,80,VDEF
STB,Ngân hàng,4.61,STOCK,2025-06-05,80,VDEF
