stock_code,industry,net_asset_percent,type_asset,update_at,fundId,short_name
MBB,Ngân hàng,7.76,STOCK,2025-06-05,68,VMEEF
TCB,Ngân hàng,6.71,STOCK,2025-06-05,68,VMEEF
DGC,Sản xuất Nhựa - Hóa chất,4.79,STOCK,2025-06-05,68,VMEEF
BVH,Bảo hiểm,4.51,STOCK,2025-06-05,68,VMEEF
GAS,Tiện ích,3.99,STOCK,2025-06-05,68,VMEEF
FOX,Công nghệ và thông tin,3.97,STOCK,2025-06-05,68,VMEEF
ACV,Vận tải - Kho bãi,3.74,STOCK,2025-06-05,68,VMEEF
ACB,Ngân hàng,3.73,STOCK,2025-06-05,68,VMEEF
VCI,Chứng khoán,3.69,STOCK,2025-06-05,68,VMEEF
CTG,Ngân hàng,3.67,STOCK,2025-06-05,68,VMEEF
