stock_code,industry,net_asset_percent,type_asset,update_at,fundId,short_name
DBD,Chăm sóc sức khỏe,8.8,STOCK,2025-06-06,76,LHCDF
NAB,Ngân hàng,8.52,STOCK,2025-06-06,76,LHCDF
CTG,Ngân hàng,6.42,STOCK,2025-06-06,76,LHCDF
KBC,Bất động sản,5.33,STOCK,2025-06-06,76,LHCDF
HPG,Vật liệu xây dựng,4.86,STOCK,2025-06-06,76,LHCDF
KDH,Bất động sản,4.11,STOCK,2025-06-06,76,LHCDF
GAS,Tiện ích,4.09,STOCK,2025-06-06,76,LHCDF
HDB,Ngân hàng,3.94,STOCK,2025-06-06,76,LHCDF
MWG,Bán lẻ,3.9,STOCK,2025-06-06,76,LHCDF
VNM,Thực phẩm - Đồ uống,3.68,STOCK,2025-06-06,76,LHCDF
