industry,net_asset_percent,short_name
Ngân hàng,42.94,MBVF
Bất động sản,13.15,MBVF
Tiện ích,9.05,MBVF
Vật liệu xây dựng,4.82,MBVF
"Sản xuất Thiết bị, máy móc",3.96,MBVF
Bán buôn,3.69,MBVF
Sản xuất Phụ trợ,3.43,MBVF
Thực phẩm - Đồ uống,3.2,MBVF
Thiết bị điện,1.07,MBVF
Sản xuất Hàng gia dụng,0.76,MBVF
