stock_code,industry,net_asset_percent,type_asset,update_at,fundId,short_name
MBB,Ngân hàng,7.67,STOCK,2025-06-05,20,VEOF
CTG,Ngân hàng,7.0,STOCK,2025-06-05,20,VEOF
HPG,Vật liệu xây dựng,6.93,STOCK,2025-06-05,20,VEOF
STB,Ngân hàng,5.93,STOCK,2025-06-05,20,VEOF
MWG,Bán lẻ,5.62,STOCK,2025-06-05,20,VEOF
TCB,Ngân hàng,5.3,STOCK,2025-06-05,20,VEOF
FPT,Công nghệ và thông tin,4.66,STOCK,2025-06-05,20,VEOF
DXG,Bất động sản,4.53,STOCK,2025-06-05,20,VEOF
ACB,Ngân hàng,3.96,STOCK,2025-06-05,20,VEOF
VIB,Ngân hàng,3.89,STOCK,2025-06-05,20,VEOF
