industry,net_asset_percent,short_name
Ngân hàng,37.78,PHVSF
Tiện ích,7.55,PHVSF
Vật liệu xây dựng,4.98,PHVSF
Công nghệ và thông tin,4.61,PHVSF
Thiết bị điện,4.17,PHVSF
Bất động sản,3.67,PHVSF
Thực phẩm - Đồ uống,3.54,PHVSF
Bán lẻ,3.45,PHVSF
Bảo hiểm,2.86,PHVSF
Chứng khoán,2.47,PHVSF
Khai khoáng,2.44,PHVSF
Xây dựng,2.15,PHVSF
"Dịch vụ tư vấn, hỗ trợ",1.72,PHVSF
Vận tải - Kho bãi,1.59,PHVSF
Sản xuất Phụ trợ,1.28,PHVSF
Nguyên vật liệu/hóa chất,1.04,PHVSF
Sản xuất Hàng gia dụng,1.03,PHVSF
Sản xuất Nhựa - Hóa chất,0.95,PHVSF
Chăm sóc sức khỏe,0.67,PHVSF
