industry,net_asset_percent,short_name
Ngân hàng,24.24,LHCDF
Bất động sản,12.37,LHCDF
Thực phẩm - Đồ uống,9.76,LHCDF
Chăm sóc sức khỏe,8.8,LHCDF
Vật liệu xây dựng,4.86,LHCDF
Tiện ích,4.09,LHCDF
Bán lẻ,3.9,LHCDF
Vận tải - Kho bãi,3.43,LHCDF
Sản xuất Nhựa - Hóa chất,3.26,LHCDF
Sản xuất Phụ trợ,3.16,LHCDF
Sản xuất Hàng gia dụng,2.68,LHCDF
Xây dựng,2.62,LHCDF
Sản xuất,0.82,LHCDF
