stock_code,industry,net_asset_percent,type_asset,update_at,fundId,short_name
STB,Ngân hàng,7.29,STOCK,2025-06-05,46,VCBF-MGF
MBB,Ngân hàng,6.03,STOCK,2025-06-05,46,VCBF-MGF
FPT,Công nghệ và thông tin,5.73,STOCK,2025-06-05,46,VCBF-MGF
BWE,Tiện ích,5.49,STOCK,2025-06-05,46,VCBF-MGF
PNJ,Sản xuất Phụ trợ,5.35,STOCK,2025-06-05,46,VCBF-MGF
MWG,Bán lẻ,4.02,STOCK,2025-06-05,46,VCBF-MGF
ACB,Ngân hàng,3.62,STOCK,2025-06-05,46,VCBF-MGF
CTD,Xây dựng,3.34,STOCK,2025-06-05,46,VCBF-MGF
NLG,Bất động sản,3.29,STOCK,2025-06-05,46,VCBF-MGF
BVH,Bảo hiểm,3.03,STOCK,2025-06-05,46,VCBF-MGF
