industry,net_asset_percent,short_name
Ngân hàng,21.66,VCBF-MGF
Công nghệ và thông tin,9.65,VCBF-MGF
Bất động sản,8.99,VCBF-MGF
Sản xuất Phụ trợ,7.13,VCBF-MGF
Bán lẻ,5.99,VCBF-MGF
Tiện ích,5.49,VCBF-MGF
Xây dựng,5.19,VCBF-MGF
Bảo hiểm,4.8,VCBF-MGF
Vận tải - Kho bãi,4.55,VCBF-MGF
Vật liệu xây dựng,4.22,VCBF-MGF
Khai khoáng,3.02,VCBF-MGF
Chứng khoán,2.93,VCBF-MGF
Chăm sóc sức khỏe,2.65,VCBF-MGF
Thực phẩm - Đồ uống,2.62,VCBF-MGF
Bán buôn,2.47,VCBF-MGF
Thiết bị điện,1.96,VCBF-MGF
Sản xuất Hàng gia dụng,1.3,VCBF-MGF
Sản xuất,0.94,VCBF-MGF
