stock_code,industry,net_asset_percent,type_asset,update_at,fundId,short_name
FPT,Công nghệ và thông tin,5.41,STOCK,2025-06-05,31,VCBF-TBF
MBB,Ngân hàng,5.0,STOCK,2025-06-05,31,VCBF-TBF
STB,Ngân hàng,4.6,STOCK,2025-06-05,31,VCBF-TBF
MWG,Bán lẻ,3.83,STOCK,2025-06-05,31,VCBF-TBF
PNJ,Sản xuất Phụ trợ,2.96,STOCK,2025-06-05,31,VCBF-TBF
HPG,Vật liệu xây dựng,2.86,STOCK,2025-06-05,31,VCBF-TBF
BWE,Tiện ích,2.79,STOCK,2025-06-05,31,VCBF-TBF
MML121021,Thực phẩm - Đồ uống,5.36,BOND,2025-06-05,31,VCBF-TBF
BCM12406,Bất động sản,4.13,UNLISTED_BOND,2025-06-05,31,VCBF-TBF
MSN123008,Thực phẩm - Đồ uống,2.88,BOND,2025-06-05,31,VCBF-TBF
