stock_code,industry,net_asset_percent,type_asset,update_at,fundId,short_name
CTG,Ngân hàng,8.02,STOCK,2025-06-06,81,ENF
MBB,Ngân hàng,6.47,STOCK,2025-06-06,81,ENF
TCB,Ngân hàng,5.19,STOCK,2025-06-06,81,ENF
FPT,Công nghệ và thông tin,4.99,STOCK,2025-06-06,81,ENF
STB,Ngân hàng,4.2,STOCK,2025-06-06,81,ENF
ACB,Ngân hàng,3.86,STOCK,2025-06-06,81,ENF
REE,Thiết bị điện,3.31,STOCK,2025-06-06,81,ENF
VCB,Ngân hàng,2.7,STOCK,2025-06-06,81,ENF
HPG,Vật liệu xây dựng,2.58,STOCK,2025-06-06,81,ENF
TCX124012,Khác,4.75,BOND,2025-06-06,81,ENF
