stock_code,industry,net_asset_percent,type_asset,update_at,fundId,short_name
HPG,Vật liệu xây dựng,9.28,STOCK,2025-06-06,12,BVFED
TCB,Ngân hàng,6.11,STOCK,2025-06-06,12,BVFED
BWE,Tiện ích,4.97,STOCK,2025-06-06,12,BVFED
VPB,Ngân hàng,4.78,STOCK,2025-06-06,12,BVFED
ACB,Ngân hàng,4.53,STOCK,2025-06-06,12,BVFED
SHB,Ngân hàng,4.4,STOCK,2025-06-06,12,BVFED
HCM,Chứng khoán,4.32,STOCK,2025-06-06,12,BVFED
VIC,Bất động sản,4.17,STOCK,2025-06-06,12,BVFED
MWG,Bán lẻ,4.07,STOCK,2025-06-06,12,BVFED
HDG,Bất động sản,4.05,STOCK,2025-06-06,12,BVFED
