stock_code,industry,net_asset_percent,type_asset,update_at,fundId,short_name
CTG,Ngân hàng,9.44,STOCK,2025-06-06,72,MAFEQI
MBB,Ngân hàng,7.48,STOCK,2025-06-06,72,MAFEQI
HPG,Vật liệu xây dựng,6.81,STOCK,2025-06-06,72,MAFEQI
TCB,Ngân hàng,5.14,STOCK,2025-06-06,72,MAFEQI
MWG,Bán lẻ,4.59,STOCK,2025-06-06,72,MAFEQI
FPT,Công nghệ và thông tin,4.17,STOCK,2025-06-06,72,MAFEQI
VHM,Bất động sản,3.93,STOCK,2025-06-06,72,MAFEQI
VPB,Ngân hàng,3.89,STOCK,2025-06-06,72,MAFEQI
VCB,Ngân hàng,3.84,STOCK,2025-06-06,72,MAFEQI
ACB,Ngân hàng,3.73,STOCK,2025-06-06,72,MAFEQI
