stock_code,industry,net_asset_percent,type_asset,update_at,fundId,short_name
VHM,Bất động sản,8.21,STOCK,2025-06-10,28,DCDS
TCB,Ngân hàng,6.99,STOCK,2025-06-10,28,DCDS
STB,Ngân hàng,5.85,STOCK,2025-06-10,28,DCDS
MWG,Bán lẻ,5.83,STOCK,2025-06-10,28,DCDS
VIC,Bất động sản,5.82,STOCK,2025-06-10,28,DCDS
CTG,Ngân hàng,5.69,STOCK,2025-06-10,28,DCDS
FPT,Công nghệ và thông tin,4.51,STOCK,2025-06-10,28,DCDS
VRE,Bất động sản,4.43,STOCK,2025-06-10,28,DCDS
HPG,Vật liệu xây dựng,3.57,STOCK,2025-06-10,28,DCDS
MBB,Ngân hàng,2.9,STOCK,2025-06-10,28,DCDS
