industry,net_asset_percent,short_name
Ngân hàng,32.56,VNDAF
Tiện ích,7.59,VNDAF
Bán lẻ,4.1,VNDAF
Khai khoáng,3.9,VNDAF
Thực phẩm - Đồ uống,3.85,VNDAF
Sản xuất Phụ trợ,3.73,VNDAF
Vật liệu xây dựng,3.72,VNDAF
Thiết bị điện,3.62,VNDAF
Bất động sản,3.12,VNDAF
Công nghệ và thông tin,2.96,VNDAF
Chứng khoán,2.05,VNDAF
