stock_code,industry,net_asset_percent,type_asset,update_at,fundId,short_name
CTG,Ngân hàng,4.85,STOCK,2025-06-06,71,MAFBAL
HPG,Vật liệu xây dựng,4.03,STOCK,2025-06-06,71,MAFBAL
MBB,Ngân hàng,3.97,STOCK,2025-06-06,71,MAFBAL
ACB,Ngân hàng,2.82,STOCK,2025-06-06,71,MAFBAL
TCB,Ngân hàng,2.81,STOCK,2025-06-06,71,MAFBAL
FPT,Công nghệ và thông tin,2.47,STOCK,2025-06-06,71,MAFBAL
MSN123010,Thực phẩm - Đồ uống,5.39,BOND,2025-06-06,71,MAFBAL
VHM121025,Bất động sản,4.63,BOND,2025-06-06,71,MAFBAL
VIC124005,Bất động sản,4.51,BOND,2025-06-06,71,MAFBAL
VIC124004,Bất động sản,2.97,BOND,2025-06-06,71,MAFBAL
