stock_code,industry,net_asset_percent,type_asset,update_at,fundId,short_name
FPT,Công nghệ và thông tin,11.85,STOCK,2025-06-06,14,BVPF
ACB,Ngân hàng,11.74,STOCK,2025-06-06,14,BVPF
QTP,Tiện ích,7.5,STOCK,2025-06-06,14,BVPF
MBB,Ngân hàng,5.69,STOCK,2025-06-06,14,BVPF
TCB,Ngân hàng,4.63,STOCK,2025-06-06,14,BVPF
ND2,Xây dựng,4.35,STOCK,2025-06-06,14,BVPF
CTG,Ngân hàng,4.32,STOCK,2025-06-06,14,BVPF
HPG,Vật liệu xây dựng,4.31,STOCK,2025-06-06,14,BVPF
IJC,Bất động sản,4.29,STOCK,2025-06-06,14,BVPF
MWG,Bán lẻ,4.06,STOCK,2025-06-06,14,BVPF
