stock_code,industry,net_asset_percent,type_asset,update_at,fundId,short_name
FPT,Công nghệ và thông tin,10.9,STOCK,2025-05-20,52,NTPPF
HCM,Chứng khoán,8.9,STOCK,2025-05-20,52,NTPPF
MBB,Ngân hàng,8.0,STOCK,2025-05-20,52,NTPPF
CTD,Xây dựng,6.1,STOCK,2025-05-20,52,NTPPF
VIB,Ngân hàng,4.7,STOCK,2025-05-20,52,NTPPF
CTG,Ngân hàng,4.6,STOCK,2025-05-20,52,NTPPF
DGC,Sản xuất Nhựa - Hóa chất,4.6,STOCK,2025-05-20,52,NTPPF
HPG,Vật liệu xây dựng,4.6,STOCK,2025-05-20,52,NTPPF
ACB,Ngân hàng,4.6,STOCK,2025-05-20,52,NTPPF
GMD,Vận tải - Kho bãi,4.5,STOCK,2025-05-20,52,NTPPF
