stock_code,industry,net_asset_percent,type_asset,update_at,fundId,short_name
FPT,Công nghệ và thông tin,6.42,STOCK,2025-06-06,29,DCAF
VCB,Ngân hàng,6.36,STOCK,2025-06-06,29,DCAF
ACB,Ngân hàng,6.06,STOCK,2025-06-06,29,DCAF
TCB,Ngân hàng,5.15,STOCK,2025-06-06,29,DCAF
MBB,Ngân hàng,4.94,STOCK,2025-06-06,29,DCAF
REE,Thiết bị điện,4.55,STOCK,2025-06-06,29,DCAF
BID,Ngân hàng,4.44,STOCK,2025-06-06,29,DCAF
HPG,Vật liệu xây dựng,4.36,STOCK,2025-06-06,29,DCAF
CTG,Ngân hàng,4.29,STOCK,2025-06-06,29,DCAF
STB,Ngân hàng,3.73,STOCK,2025-06-06,29,DCAF
