industry,net_asset_percent,short_name
Ngân hàng,38.95,UVEEF
Bất động sản,13.14,UVEEF
Công nghệ và thông tin,7.47,UVEEF
Bán lẻ,4.07,UVEEF
Vận tải - Kho bãi,3.71,UVEEF
Sản xuất Phụ trợ,3.65,UVEEF
Chứng khoán,3.41,UVEEF
Thiết bị điện,3.4,UVEEF
Vật liệu xây dựng,3.16,UVEEF
Sản xuất Nhựa - Hóa chất,2.72,UVEEF
Chế biến thủy sản,1.96,UVEEF
Tiện ích,1.64,UVEEF
Thực phẩm - Đồ uống,1.33,UVEEF
Sản xuất Hàng gia dụng,1.27,UVEEF
Xây dựng,1.01,UVEEF
