stock_code,industry,net_asset_percent,type_asset,update_at,fundId,short_name
MSN,Thực phẩm - Đồ uống,5.87,STOCK,2025-06-06,61,PBIF
PVT,Vận tải - Kho bãi,4.63,STOCK,2025-06-06,61,PBIF
HPG,Vật liệu xây dựng,4.31,STOCK,2025-06-06,61,PBIF
PVS,Khai khoáng,3.8,STOCK,2025-06-06,61,PBIF
MBB,Ngân hàng,3.55,STOCK,2025-06-06,61,PBIF
CTD,Xây dựng,3.46,STOCK,2025-06-06,61,PBIF
VIC123029,Bất động sản,14.02,BOND,2025-06-06,61,PBIF
MSN123009,Thực phẩm - Đồ uống,6.58,BOND,2025-06-06,61,PBIF
BAF123020,Nông - Lâm - Ngư,5.95,BOND,2025-06-06,61,PBIF
SBT12401,Thực phẩm - Đồ uống,5.82,BOND,2025-06-06,61,PBIF
