industry,net_asset_percent,short_name
Ngân hàng,26.38,BVPF
Công nghệ và thông tin,11.85,BVPF
Bất động sản,8.19,BVPF
Xây dựng,7.64,BVPF
Tiện ích,7.5,BVPF
Vật liệu xây dựng,4.31,BVPF
Bán lẻ,4.06,BVPF
"Sản xuất Thiết bị, máy móc",3.76,BVPF
Sản xuất Phụ trợ,3.61,BVPF
Thực phẩm - Đồ uống,3.09,BVPF
Bán buôn,2.49,BVPF
Sản xuất Hàng gia dụng,2.45,BVPF
