stock_code,industry,net_asset_percent,type_asset,update_at,fundId,short_name
MBB,Ngân hàng,6.07,STOCK,2025-06-05,22,VIBF
HPG,Vật liệu xây dựng,3.99,STOCK,2025-06-05,22,VIBF
CTG,Ngân hàng,3.8,STOCK,2025-06-05,22,VIBF
STB,Ngân hàng,3.04,STOCK,2025-06-05,22,VIBF
VEA,"Sản xuất Thiết bị, máy móc",2.88,STOCK,2025-06-05,22,VIBF
ACB,Ngân hàng,2.87,STOCK,2025-06-05,22,VIBF
FPT,Công nghệ và thông tin,2.51,STOCK,2025-06-05,22,VIBF
MWG,Bán lẻ,2.43,STOCK,2025-06-05,22,VIBF
KDH12202,Bất động sản,3.22,UNLISTED_BOND,2025-06-05,22,VIBF
DSE125004,Chứng khoán,2.3,BOND,2025-06-05,22,VIBF
